,0
Разработка рабочей конструкторской документации (5537_35),2989.0
"Личные установки и ценности, мировоззрение (2043_4)",2325.0
Разработка проектной документации (5541_35),1911.0
Умение работать в САПР (5244_35),1850.0
Знание компьютерных программ (3753_35),1746.0
"Ответственность , добросовестность (СК) (614_4)",1733.0
Выполнение конструктивных расчетов (5545_35),1382.0
Знание нормативной и методической документации (4566_35),1257.0
Дисциплинированность (СК) (593_4),889.0
Навыки трехмерного моделирования (5475_35),818.0
Конструкторское сопровождение опытного и серийного производства (5518_35),813.0
Знание ЕСКД (7062_10),759.0
Знания SCAD (5251_10),756.0
Коммуникабельность (СК) (617_4),698.0
Командность (СК) (1371_4),664.0
Разработка конструкторской документации (7077_10),640.0
Внимательность (СК) (536_4),634.0
"Саморазвитие, обучаемость (СК) (604_4)",561.0
Согласование конструкторской документации (5543_35),429.0
Английский язык (ЯС) (1918_32),425.0
Разработка технических заданий (5551_35),397.0
Аккуратность (СК) (575_4),275.0
Навык работы с офисными компьютерными программами (5249_35),270.0
Кропотливость (СК) (623_4),268.0
"Организаторские способности, лидерство (СК) (393_4)",222.0
Стрессоустойчивость (СК) (601_4),194.0
Проверка проектной и конструкторской документации (5652_35),185.0
Руководство проектными работами (6044_35),153.0
Подготовка чертежей по специальности или профилю работы (7181_10),153.0
Чтение схем/чертежей (ОПТ) (3032_36),104.0
Руководство конструкторским отделом (5674_35),84.0
