,0
"Ответственность , добросовестность (СК) (614_4)",444.0
Дисциплинированность (СК) (593_4),320.0
"Личные установки и ценности, мировоззрение (2043_4)",204.0
Аккуратность (СК) (575_4),87.0
Пунктуальность (СК) (612_4),85.0
Внимательность (СК) (536_4),69.0
"Саморазвитие, обучаемость (СК) (604_4)",64.0
Окрашивание поверхностей вручную и механизированным способом (1418_10),54.0
Коммуникабельность (СК) (617_4),35.0
"Техника безопасности (бетон, арматура) (1607_10)",27.0
Командность (СК) (1371_4),25.0
Высокая работоспособность (СК) (586_4),23.0
Трудолюбие (СК) (597_4),23.0
Соблюдение правил охраны труда (ОПТ) (3790_36),22.0
Выполнение штукатурки (456_10),21.0
Нравственность (СК) (622_4),19.0
Инициативность (СК) (610_4),10.0
"Оклеивание поверхностей бумажными, виниловыми и текстильными обоями (1423_10)",9.0
Выполнение ремонтных работ (ОПТ) (8285_36),6.0
Ремонт штукатурки (357_10),5.0
