,0
"Ответственность , добросовестность (СК) (614_4)",1746.0
Дисциплинированность (СК) (593_4),1223.0
"Личные установки и ценности, мировоззрение (2043_4)",993.0
Окрашивание поверхностей вручную и механизированным способом (1418_10),340.0
Аккуратность (СК) (575_4),301.0
Пунктуальность (СК) (612_4),210.0
Командность (СК) (1371_4),183.0
Коммуникабельность (СК) (617_4),177.0
Внимательность (СК) (536_4),166.0
Высокая работоспособность (СК) (586_4),138.0
"Саморазвитие, обучаемость (СК) (604_4)",120.0
Трудолюбие (СК) (597_4),82.0
Соблюдение правил охраны труда (ОПТ) (3790_36),56.0
"Оклеивание поверхностей бумажными, виниловыми и текстильными обоями (1423_10)",55.0
Инициативность (СК) (610_4),50.0
Нравственность (СК) (622_4),42.0
Ремонт штукатурки (357_10),42.0
Выполнение штукатурки (456_10),35.0
Выполнение ремонтных работ (ОПТ) (8285_36),26.0
"Техника безопасности (бетон, арматура) (1607_10)",22.0
