,0
"Личные установки и ценности, мировоззрение (2043_4)",444.0
"Соблюдение требований охраны труда, санитарии и гигиены, пожарной безопасности, правил внутреннего трудового распорядка, других правил и норм (690_9)",359.0
"Ответственность , добросовестность (СК) (614_4)",318.0
"Приготовление  блюд, заготовок и полуфабрикатов (2676_9)",290.0
Дисциплинированность (СК) (593_4),267.0
"Участие в процессе приготовления заказов, блюд (сфера питания) (694_9)",177.0
Аккуратность (СК) (575_4),176.0
Доброжелательность (СК) (1126_4),151.0
Коммуникабельность (СК) (617_4),128.0
"Организаторские способности, лидерство (СК) (393_4)",114.0
"Контроль качества сырья, его хранения и приготовления блюд (2724_9)",86.0
Командность (СК) (1371_4),70.0
Приготовление хлебобулочных изделий (3317_9),44.0
Приготовление различных полуфабрикатов (3301_9),36.0
Внимательность (СК) (536_4),30.0
"Саморазвитие, обучаемость (СК) (604_4)",29.0
Склонность к здоровому образу жизни (СК) (1662_4),18.0
"Оформление витрин предприятия питания, предпродажная подготовка и выкладка товара, оформление ценников (3007_9)",0.0
