,0
"Личные установки и ценности, мировоззрение (2043_4)",208.0
ЖКХа техническое обслуживание электротехнического оборудования (2792_29),200.0
ЖКХа ремонт электрооборудования (2558_29),129.0
ЖКХа общие фразы (2155_29),112.0
ЖКХа Контроль за работой оборудования (3901_29),109.0
"Ответственность , добросовестность (СК) (614_4)",106.0
ЖКХ общепрофессиональные знания по электрике (2153_29),105.0
Дисциплинированность (СК) (593_4),100.0
ЖКХа монтаж электро оборудования (2503_29),91.0
ЖКХа общие фразы по обслуживанию и ремонту узлов/оборудования (3803_29),90.0
ЖКХа техническое обслуживание электрической части (2669_29),89.0
Выполнение ремонтных работ (ОПТ) (8285_36),79.0
ЖКХа Техническое обслуживание электрических машин (4101_29),58.0
Выполнение монтажных/демонтажных работ (ОПТ) (8301_36),32.0
ЖКХа Умение читать электрические схемы (3681_29),32.0
"ЖКХа Заземление и зануление, проверка изоляции (2658_29)",32.0
Аккуратность (СК) (575_4),28.0
Пунктуальность (СК) (612_4),21.0
"ЖКХа Сборка, обслуживание и ремонт узлов электрических сетей и оборудования (2151_29)",21.0
"ЖКХа монтаж, ремонт и обслуживание  электрических сетей и оборудования (2150_29)",14.0
Внимательность (СК) (536_4),14.0
