,0
"Личные установки и ценности, мировоззрение (2043_4)",997.0
"Восприятие, мышление, внимание, память (УСК) (1330_4)",824.0
Выполнение поручений руководителя (ОПТ) (3036_36),808.0
"Ответственность , добросовестность (СК) (614_4)",723.0
Коммуникабельность (СК) (617_4),694.0
Грамотность (СК) (1368_4),618.0
"Выполнение поставленных задач, приказов, распоряжений и поручений руководителя (1994_33)",572.0
Стрессоустойчивость (СК) (601_4),529.0
Владение ПК и оргтехникой (2686_33),512.0
Дисциплинированность (СК) (593_4),511.0
"Встречи и переговоры: планирование, организация, координация, сопровождение, участие в проведении встреч и переговоров (3079_33)",506.0
Английский язык (ЯС) (1918_32),492.0
"Многозадачность, интенсивность (СК) (627_4)",489.0
Внимательность (СК) (536_4),464.0
Ведение делопроизводства (2047_33),463.0
"Организация командировок сотрудников, руководителя и сопровождающих его лиц. Travel-поддержка (2252_33)",446.0
Выполнение отдельных служебных и личных поручений руководителя (2257_33),427.0
"Обеспечение и контроль исполнения поручений руководителя, сроков выполнения указаний/ распоряжений/ поручений и приказов (2251_33)",384.0
"Знание ПК, различных операционных систем, офисных программ (2286_33)",369.0
Ведение переписки с контрагентами (общие фразы) (2268_33),360.0
Пунктуальность (СК) (612_4),330.0
"Организаторские способности, лидерство (СК) (393_4)",303.0
"Саморазвитие, обучаемость (СК) (604_4)",255.0
Аккуратность (СК) (575_4),237.0
"Организация, координация, участие в проведении совещаний и заседаний (2249_33)",211.0
"Работа с информацией: поиск, сбор, обработка (2288_33)",205.0
Организация рабочего дня руководителя (2254_33),193.0
"Координация деятельности офиса, руководства и сотрудников (3352_33)",176.0
Целеустремленность (СК) (588_4),164.0
Кропотливость (СК) (623_4),149.0
"Работа в режиме многозадачности и с большими объемами информации, документов (2277_33)",139.0
Знание правил делового общения (2048_33),138.0
"Административная поддержка на всех этапах функционирования компании: офиса, руководства, сотрудников (3323_33)",124.0
"Взаимодействие с подразделениями и сотрудниками компании, совместная работа с сотрудниками (2544_33)",117.0
Командность (СК) (1371_4),108.0
Нравственность (СК) (622_4),108.0
"Ведение базы данных клиентов, CRM (2472_33)",65.0
"Документальное обеспечение взаиморасчетов, работа со счетами и актами (2873_33)",49.0
Организация процесса закупки и приобретение товаров и услуг (2022_33),48.0
