,0
"Ответственность , добросовестность (СК) (614_4)",2520.0
Дисциплинированность (СК) (593_4),1745.0
"Личные установки и ценности, мировоззрение (2043_4)",1625.0
Коммуникабельность (СК) (617_4),1294.0
Ведение делопроизводства (2047_33),958.0
Выполнение поручений руководителя (ОПТ) (3036_36),768.0
Пунктуальность (СК) (612_4),750.0
"Выполнение поставленных задач, приказов, распоряжений и поручений руководителя (1994_33)",610.0
"Знание ПК, различных операционных систем, офисных программ (2286_33)",557.0
Владение ПК и оргтехникой (2686_33),554.0
Грамотность (СК) (1368_4),532.0
Внимательность (СК) (536_4),525.0
Ведение делопроизводства (2455_33),481.0
"Саморазвитие, обучаемость (СК) (604_4)",432.0
Стрессоустойчивость (СК) (601_4),338.0
Аккуратность (СК) (575_4),319.0
Командность (СК) (1371_4),285.0
"Работа с входящей и исходящей корреспонденцией: отправка, доставка (3597_33)",236.0
"Организаторские способности, лидерство (СК) (393_4)",229.0
Доброжелательность (СК) (1126_4),219.0
"Работа с документами: подготовка, прием/отправка, печать, сканирование (1976_33)",203.0
"Организация командировок сотрудников, руководителя и сопровождающих его лиц. Travel-поддержка (2252_33)",198.0
"Обеспечение и контроль исполнения поручений руководителя, сроков выполнения указаний/ распоряжений/ поручений и приказов (2251_33)",158.0
"Встречи и переговоры: планирование, организация, координация, сопровождение, участие в проведении встреч и переговоров (3079_33)",134.0
Английский язык (ЯС) (1918_32),45.0
