,0
"Ответственность , добросовестность (СК) (614_4)",2941.0
"Личные установки и ценности, мировоззрение (2043_4)",2714.0
Коммуникабельность (СК) (617_4),2209.0
Дисциплинированность (СК) (593_4),2040.0
Выполнение поручений руководителя (ОПТ) (3036_36),1682.0
"Выполнение поставленных задач, приказов, распоряжений и поручений руководителя (1994_33)",1410.0
Грамотность (СК) (1368_4),1339.0
Внимательность (СК) (536_4),1329.0
Владение ПК и оргтехникой (2686_33),1153.0
Пунктуальность (СК) (612_4),1144.0
"Знание ПК, различных операционных систем, офисных программ (2286_33)",1052.0
Ведение делопроизводства (2047_33),912.0
Аккуратность (СК) (575_4),880.0
Стрессоустойчивость (СК) (601_4),833.0
Доброжелательность (СК) (1126_4),767.0
"Саморазвитие, обучаемость (СК) (604_4)",764.0
Ведение делопроизводства (2455_33),643.0
"Организация командировок сотрудников, руководителя и сопровождающих его лиц. Travel-поддержка (2252_33)",477.0
Английский язык (ЯС) (1918_32),388.0
Командность (СК) (1371_4),380.0
"Работа с документами: подготовка, прием/отправка, печать, сканирование (1976_33)",379.0
"Работа с входящей и исходящей корреспонденцией: отправка, доставка (3597_33)",363.0
"Встречи и переговоры: планирование, организация, координация, сопровождение, участие в проведении встреч и переговоров (3079_33)",353.0
"Организаторские способности, лидерство (СК) (393_4)",324.0
"Обеспечение и контроль исполнения поручений руководителя, сроков выполнения указаний/ распоряжений/ поручений и приказов (2251_33)",190.0
