,0
Погрузо-разгрузочные работы на погрузчике (6276_10),265.0
"Личные установки и ценности, мировоззрение (2043_4)",233.0
Навыки управления трубоукладчиком (6290_10),231.0
Выполнение ремонтных работ (ОПТ) (8285_36),189.0
ТО и Р трубоукладчиков (6390_10),188.0
Выполнение работ на строительных площадках (4996_10),187.0
"Управление трубоукладчиком Komatsu, Caterpillar (6366_10)",173.0
Управление трубоукладчиком Komatsu D355 (6293_10),146.0
Стыковка и укладка трубы в траншею (6406_10),117.0
Знание устройства и технических характеристик машин и агрегатов (3181_10),97.0
Управление трубоукладчиком Liebherr (6377_10),92.0
Управление трубоукладчиком Komatsu (6292_10),89.0
"Управление трубоукладчиком Liebherr RL, Komatsu D355 (6367_10)",67.0
Организация и выполнение производственных заданий при производстве этапа строительных работ (2959_10),51.0
Управление трубоукладчиком Caterpillar (6376_10),48.0
Работа в сварочно-монтажных бригадах (6404_10),47.0
"Ответственность , добросовестность (СК) (614_4)",46.0
Выполнение работ по прокладке трубопроводов (6419_10),46.0
Выявление и устранение неисправностей в работе машины (6411_10),41.0
Пусто2 (6392_10),39.0
Определение правильности и надежности строповки грузов (6400_10),38.0
Выполнение монтажных/демонтажных работ (ОПТ) (8301_36),32.0
Монтаж-демонтаж механизмов (6407_10),32.0
Знание устройства и принципов работы трубоукладчика (6280_10),31.0
Настройка и регулировка механизмов (6451_10),30.0
Монтаж/установка опалубки (305_10),30.0
Дисциплинированность (СК) (593_4),29.0
Управление краном при выполнении строительных монтажных работ (6291_10),19.0
Контроль соответствия съёмных грузозахватных приспособлений массе и характеру груза (6409_10),18.0
Контрольный осмотр и проверка исправности агрегатов трубоукладчика (6431_10),18.0
Контроль исправности строп и съёмных грузозахватных приспособлений (6433_10),17.0
Пунктуальность (СК) (612_4),15.0
Командность (СК) (1371_4),13.0
Выполнение работ по прокладке трубопроводов трубоукладчиком (6420_10),13.0
Управление трубоукладчиком среднего класса (6439_10),3.0
Трудолюбие (СК) (597_4),1.0
Заправка бульдозера ГСМ (3224_10),0.0
Нравственность (СК) (622_4),0.0
