,0
"Ответственность , добросовестность (СК) (614_4)",937.0
Дисциплинированность (СК) (593_4),594.0
"Личные установки и ценности, мировоззрение (2043_4)",398.0
Аккуратность (СК) (575_4),184.0
Пунктуальность (СК) (612_4),159.0
Коммуникабельность (СК) (617_4),147.0
Высокая работоспособность (СК) (586_4),140.0
Ремонт штукатурки (357_10),120.0
Командность (СК) (1371_4),112.0
Приготовление штукатурных растворов и смесей (448_10),76.0
Штукатурка (713_10),60.0
Выполнение штукатурки (456_10),51.0
Выполнение ремонтных работ (ОПТ) (8285_36),50.0
Трудолюбие (СК) (597_4),47.0
Нравственность (СК) (622_4),40.0
Укладка плитки (250_10),29.0
