,0
"Личные установки и ценности, мировоззрение (2043_4)",464.0
"Ответственность , добросовестность (СК) (614_4)",347.0
"Организаторские способности, лидерство (СК) (393_4)",240.0
Дисциплинированность (СК) (593_4),214.0
ЖКХи обеспечение документооборота (2902_29),211.0
Коммуникабельность (СК) (617_4),169.0
Выполнение ремонтных работ (ОПТ) (8285_36),155.0
ЖКХ работа с проектной документацией (2903_29),149.0
ЖКХи Обеспечение планирования (3686_29),146.0
"ЖКХ Подготовка данных, составление и ведение отчетности (2905_29)",143.0
ХКХ Работа с заявками на ТМЦ (3707_29),112.0
ХКХ Работа с договорами (3684_29),109.0
"Восприятие, мышление, внимание, память (УСК) (1330_4)",108.0
ЖКХи  организация эксплуатации оборудования/систем/сетей (2892_29),104.0
Стрессоустойчивость (СК) (601_4),87.0
"Саморазвитие, обучаемость (СК) (604_4)",83.0
ЖКХи Взаимодействие (3919_29),73.0
Командность (СК) (1371_4),72.0
ХКХи Организация и ведение установленных форм учета (3716_29),71.0
Внимательность (СК) (536_4),67.0
Составление/формирование/подготовка отчетности (ОПТ) (3911_36),64.0
Целеустремленность (СК) (588_4),63.0
Аккуратность (СК) (575_4),57.0
ЖКХи пользователь ПК (2898_29),55.0
Чтение схем/чертежей (ОПТ) (3032_36),55.0
Пунктуальность (СК) (612_4),49.0
Инициативность (СК) (610_4),44.0
Английский язык (ЯС) (1918_32),43.0
ХКХ бюджетирование (3683_29),43.0
Выполнение монтажных/демонтажных работ (ОПТ) (8301_36),31.0
ХКХи Техническая консультация (3714_29),30.0
ХКХи проведение профилактических работ (3768_29),20.0
ЖКХи  организация и проведение тендеров (3736_29),17.0
