,0
"Ответственность , добросовестность (СК) (614_4)",877.0
Дисциплинированность (СК) (593_4),647.0
"Личные установки и ценности, мировоззрение (2043_4)",439.0
Укладка/заливка бетонной смеси при возведении простых конструкций (249_10),176.0
Командность (СК) (1371_4),150.0
Склонность к здоровому образу жизни (СК) (1662_4),119.0
Пунктуальность (СК) (612_4),118.0
Высокая работоспособность (СК) (586_4),106.0
Коммуникабельность (СК) (617_4),101.0
Внимательность (СК) (536_4),52.0
Трудолюбие (СК) (597_4),41.0
Аккуратность (СК) (575_4),38.0
Монтаж/установка опалубки (305_10),30.0
Чтение схем/чертежей (ОПТ) (3032_36),25.0
"Самоорганизация, отношение себе  (СК) (1629_4)",20.0
