,0
"Личные установки и ценности, мировоззрение (2043_4)",375.0
Высокая работоспособность (СК) (586_4),323.0
"Ответственность , добросовестность (СК) (614_4)",241.0
Дисциплинированность (СК) (593_4),213.0
Монтаж/установка опалубки (305_10),107.0
Укладка/заливка бетонной смеси при возведении простых конструкций (249_10),102.0
Командность (СК) (1371_4),46.0
Чтение схем/чертежей (ОПТ) (3032_36),34.0
Пунктуальность (СК) (612_4),30.0
"Самоорганизация, отношение себе  (СК) (1629_4)",30.0
Аккуратность (СК) (575_4),24.0
Коммуникабельность (СК) (617_4),24.0
Внимательность (СК) (536_4),22.0
Склонность к здоровому образу жизни (СК) (1662_4),19.0
Трудолюбие (СК) (597_4),18.0
