,0
"Ответственность , добросовестность (СК) (614_4)",824.0
Дисциплинированность (СК) (593_4),618.0
Токарные работы (3473_35),360.0
"Личные установки и ценности, мировоззрение (2043_4)",347.0
Доводочные операции (3452_35),177.0
"Саморазвитие, обучаемость (СК) (604_4)",124.0
Внимательность (СК) (536_4),118.0
Аккуратность (СК) (575_4),94.0
Нарезание резьбы (3451_35),94.0
Чтение схем/чертежей (ОПТ) (3032_36),90.0
Подготовка станков к работе (3512_35),82.0
Кропотливость (СК) (623_4),58.0
Коммуникабельность (СК) (617_4),53.0
Токарная обработка крупногабаритных деталей (3475_35),52.0
Высокая работоспособность (СК) (586_4),52.0
Использование контрольно-измерительных инструментов (3479_35),45.0
Выполнение расточки отверстий (3449_35),38.0
Фрезерование (3469_35),33.0
Соблюдение правил охраны труда (ОПТ) (3790_36),30.0
Трудолюбие (СК) (597_4),23.0
Нравственность (СК) (622_4),20.0
Работа на станках с ЧПУ (3542_35),16.0
Работа на станках 16к20 (3524_35),14.0
Работа на токарно-расточных станках (3560_35),13.0
Работа на станках ДИП (3523_35),10.0
Технология механообработки (3506_35),6.0
Работы на токарно-карусельных станках (3557_35),2.0
