,0
"Ответственность , добросовестность (СК) (614_4)",267.0
Дисциплинированность (СК) (593_4),176.0
"Личные установки и ценности, мировоззрение (2043_4)",96.0
"Облицовка плиткой (стены, потолки и прочие конструкции) (818_10)",83.0
Подготовка к облицовке плиткой (815_10),50.0
Командность (СК) (1371_4),40.0
Укладка плитки (250_10),39.0
Пунктуальность (СК) (612_4),29.0
Высокая работоспособность (СК) (586_4),24.0
Коммуникабельность (СК) (617_4),22.0
Аккуратность (СК) (575_4),22.0
Трудолюбие (СК) (597_4),16.0
Внимательность (СК) (536_4),8.0
Выполнение ремонтных работ (ОПТ) (8285_36),5.0
Нравственность (СК) (622_4),2.0
