,0
Подача звуковых и видимых сигналов при выполнении работ по ограждению (2946_23),11.0
"Установка и снятие знаков, сигналов, петард при производстве работ по ограждению (2945_23)",9.0
Закрепление подвижного состава (1740_23),5.0
"Личные установки и ценности, мировоззрение (2043_4)",4.0
Выполнение работ по ограждению места производства работ (РЖД) (2680_23),4.0
"Ответственность , добросовестность (СК) (614_4)",3.0
"Знание сигналов, знаков, и правил их установки (2681_23)",2.0
Знание порядка пользования средствами связи (2962_23),0.0
Пунктуальность (СК) (612_4),0.0
Коммуникабельность (СК) (617_4),0.0
Дисциплинированность (СК) (593_4),0.0
"Саморазвитие, обучаемость (СК) (604_4)",0.0
Инициативность (СК) (610_4),0.0
Высокая работоспособность (СК) (586_4),0.0
Командность (СК) (1371_4),0.0
