,0
"Ответственность , добросовестность (СК) (614_4)",106.0
Монтаж систем вентиляции воздуха (2702_10),105.0
"Личные установки и ценности, мировоззрение (2043_4)",91.0
Дисциплинированность (СК) (593_4),64.0
Пунктуальность (СК) (612_4),51.0
Монтаж систем кондиционирования воздуха (2795_10),49.0
Аккуратность (СК) (575_4),27.0
Техническое обслуживание систем вентиляции воздуха (2798_10),26.0
"Саморазвитие, обучаемость (СК) (604_4)",25.0
Выполнение монтажных/демонтажных работ (ОПТ) (8301_36),24.0
Высокая работоспособность (СК) (586_4),22.0
Техническое обслуживание систем кондиционирования воздуха (2799_10),18.0
Монтаж воздуховодов (7150_10),15.0
Коммуникабельность (СК) (617_4),14.0
Командность (СК) (1371_4),13.0
Чтение схем/чертежей (ОПТ) (3032_36),12.0
Нравственность (СК) (622_4),11.0
Трудолюбие (СК) (597_4),7.0
Установка и выверка постаментов рам и площадок под калориферы (7147_10),7.0
