,0
"Личные установки и ценности, мировоззрение (2043_4)",91.0
Высокая работоспособность (СК) (586_4),53.0
"Ответственность , добросовестность (СК) (614_4)",50.0
Внимательность (СК) (536_4),47.0
Дисциплинированность (СК) (593_4),30.0
"Саморазвитие, обучаемость (СК) (604_4)",27.0
Аккуратность (СК) (575_4),16.0
Контроль за работой и техническим состоянием оборудования (4119_35),8.0
Наладка оборудования (4078_35),5.0
Работа на станках с ЧПУ (3542_35),5.0
Нравственность (СК) (622_4),4.0
Подготовка станков к работе (3512_35),3.0
Эксплуатация станочного оборудования (3579_35),2.0
Ремонт оборудования (4132_35),1.0
Выполнение ремонтных работ (ОПТ) (8285_36),1.0
Техническое обслуживание оборудования (4130_35),0.0
Составление и корректировка управляющих программ (3667_35),0.0
Командность (СК) (1371_4),0.0
Чтение схем/чертежей (ОПТ) (3032_36),0.0
