,0
"Ответственность , добросовестность (СК) (614_4)",265.0
"Личные установки и ценности, мировоззрение (2043_4)",258.0
Дисциплинированность (СК) (593_4),212.0
Наладка оборудования (4078_35),127.0
Внимательность (СК) (536_4),111.0
Эксплуатация станочного оборудования (3579_35),101.0
"Саморазвитие, обучаемость (СК) (604_4)",97.0
Аккуратность (СК) (575_4),94.0
Техническое обслуживание оборудования (4130_35),91.0
Ремонт оборудования (4132_35),80.0
Выполнение ремонтных работ (ОПТ) (8285_36),78.0
Контроль за работой и техническим состоянием оборудования (4119_35),78.0
Подготовка станков к работе (3512_35),76.0
Командность (СК) (1371_4),49.0
Высокая работоспособность (СК) (586_4),45.0
Нравственность (СК) (622_4),14.0
Составление и корректировка управляющих программ (3667_35),10.0
Работа на станках с ЧПУ (3542_35),7.0
Чтение схем/чертежей (ОПТ) (3032_36),5.0
