,0
Знание 1С (2742_8),1078.0
"Ответственность , добросовестность (СК) (614_4)",882.0
Пользователь ПК (922_8),669.0
"Личные установки и ценности, мировоззрение (2043_4)",598.0
Знание компьютерных офисных программ (1027_8),530.0
Дисциплинированность (СК) (593_4),509.0
"Восприятие, мышление, внимание, память (УСК) (1330_4)",434.0
(О) Анализ финансово-хозяйственной деятельности (1217_8),430.0
Компьютерные программы для ведения бухгалтерского учета (129_8),392.0
Составление/формирование/подготовка отчетности (ОПТ) (3911_36),352.0
Внимательность (СК) (536_4),347.0
"Саморазвитие, обучаемость (СК) (604_4)",212.0
(О) Работать с программой 1С (847_8),175.0
Бюджетирование (2871_8),156.0
Стрессоустойчивость (СК) (601_4),154.0
(О) Ведение управленческого учета (652_8),151.0
"Анализ себестоимости продукции, выполняемых работ (2855_8)",147.0
Формирование бюджета (3098_8),143.0
Государственные закупки (3244_8),131.0
"Многозадачность, интенсивность (СК) (627_4)",119.0
"Бюджет доходов и расходов (БДР): формирование, анализ, контроль (3108_8)",113.0
Составление управленческой отчетности (1587_8),71.0
Анализ экономической эффективности деятельности компаний (3070_8),67.0
"Методическая работа: разработка, актуализация, внедрение, реализация (3833_8)",44.0
Бизнес-план (3397_8),44.0
