,0
"Ответственность , добросовестность (СК) (614_4)",704.0
Дисциплинированность (СК) (593_4),437.0
Знание 1С (2742_8),350.0
"Личные установки и ценности, мировоззрение (2043_4)",298.0
Пользователь ПК (922_8),225.0
(О) Анализ финансово-хозяйственной деятельности (1217_8),169.0
Знание компьютерных офисных программ (1027_8),164.0
Внимательность (СК) (536_4),143.0
"Саморазвитие, обучаемость (СК) (604_4)",127.0
"Восприятие, мышление, внимание, память (УСК) (1330_4)",117.0
Составление/формирование/подготовка отчетности (ОПТ) (3911_36),110.0
Компьютерные программы для ведения бухгалтерского учета (129_8),95.0
Государственные закупки (3244_8),74.0
Формирование бюджета (3098_8),54.0
"Анализ себестоимости продукции, выполняемых работ (2855_8)",42.0
Стрессоустойчивость (СК) (601_4),41.0
(О) Работать с программой 1С (847_8),38.0
"Многозадачность, интенсивность (СК) (627_4)",37.0
Бюджетирование (2871_8),32.0
(О) Ведение управленческого учета (652_8),30.0
Анализ экономической эффективности деятельности компаний (3070_8),27.0
"Бюджет доходов и расходов (БДР): формирование, анализ, контроль (3108_8)",26.0
Составление управленческой отчетности (1587_8),14.0
Бизнес-план (3397_8),10.0
"Методическая работа: разработка, актуализация, внедрение, реализация (3833_8)",8.0
