n_bundle,experience_id,is_vahta,industry_id,is_parttime,mape,rmse,coefs
811,0.0,False,0,False,0.3477521834251022,21901.27232353312,"[0.69694942 1.17918127 1.36969964 0.540037   0.52681543 1.30535774
 0.51113009 1.43410792 1.15580222 0.91481177 1.24723985 0.6506993
 0.99160236 0.60397628 0.93352879 0.59031091 0.98827359 0.76557481
 1.39191563]"
811,0.0,False,0,True,0.1640386725728966,13123.093805831726,"[1.37406411 1.00730644 0.88473103 1.41786269 1.45272579 0.56684474
 1.08138681 0.82363958 0.69325571 1.07312761 0.7607599  0.62365006
 1.48512706 1.41603348 1.49181744 1.46740336 0.94309477 0.5009984
 1.16817993]"
811,0.0,False,1,False,0.2453749392631778,10390.90434357375,"[1.46278725 1.08084574 0.80927555 0.50551591 0.58517301 1.30594073
 1.04773244 1.39437816 0.85868284 0.55923098 0.64332183 0.77274549
 0.78044996 1.1723519  0.69987186 0.58041158 1.28788278 1.35890491
 1.30085309]"
811,0.0,False,1,True,0.3153768276302607,18922.609657815643,"[0.57463779 1.39201447 0.79971896 1.17868757 1.4901826  1.28669633
 1.44969785 0.99450089 1.15178007 0.94893752 1.40662692 1.48840339
 0.99535982 1.27374193 1.40662928 0.66781085 1.08572438 0.82497165
 0.92415509]"
811,0.0,False,2,False,0.3167494797894044,13719.233309495996,"[0.74056699 1.20701792 0.67243702 0.82250828 0.51514416 0.61837195
 0.66634468 1.02572548 0.98375147 0.78515915 0.96114425 0.65565617
 0.51313709 0.91701362 0.68185297 0.99362528 1.48398329 1.12390747
 0.97278415]"
811,0.0,True,0,False,0.2624196109253438,15180.47181211808,"[0.78248906 0.68183742 1.02641421 0.54613804 1.41346684 1.10426718
 0.92852611 0.76931028 1.26950685 0.74968426 0.58127625 0.71982421
 0.96590966 1.26339984 1.32078174 1.18268938 0.72781556 0.82030022
 1.38642797]"
811,0.0,True,1,False,0.2567111835561646,14133.489804784698,"[1.03913565 0.59295415 1.16598704 0.71325766 0.51056764 0.88329258
 0.84013503 0.92102895 0.88233726 1.11433532 0.563028   0.97595139
 1.07657954 0.63548233 1.34187142 0.91175804 0.71904232 0.9978733
 0.57444623]"
811,0.0,True,2,False,0.3019704007887647,15889.138466704771,"[1.32089197 0.67992678 1.2574616  0.54323888 0.97967759 0.84207997
 0.84485927 0.59466602 0.5297566  0.56580699 1.09062481 1.44846092
 0.50304747 1.05708133 0.7246854  1.25930138 1.39078158 1.15996072
 1.27303458]"
811,1.0,False,0,False,0.3236113224251802,19373.976617224136,"[0.87163174 1.12579173 0.6992155  0.5518654  0.53131314 0.63375688
 0.54306835 0.88703368 0.93446706 1.02299997 0.70869221 0.51356545
 0.56306216 1.28452473 1.16723438 0.6771235  0.71508717 1.24635436
 0.54677013]"
811,1.0,False,0,True,0.4878899778359584,49307.257796482,"[1.11422573 0.74692369 1.46300206 0.50249798 0.81399174 0.63448838
 1.05383254 1.02194236 1.06849077 0.57935092 1.22428788 1.24608145
 0.51197694 0.81844886 1.25843782 0.73266039 0.80134858 0.84476947
 1.23666787]"
811,1.0,False,1,False,0.3553738608030284,18439.42584074419,"[1.07655229 1.34345484 1.29604073 0.61187152 0.55755929 1.34391768
 1.10756607 1.13985288 1.44538712 0.62747309 0.70916526 0.51373066
 0.59235762 1.08205158 0.6678867  0.94615266 0.79721708 0.73293092
 1.14321838]"
811,1.0,False,1,True,0.6080849463572318,16846.267021020343,"[0.93442077 1.37503371 1.24391976 1.49489825 0.52231872 1.08745032
 1.15378444 0.73018263 1.33266292 0.54256804 1.15230415 0.85487871
 0.55766009 0.62124909 0.69979082 0.60494799 0.69296021 0.51114882
 1.39708483]"
811,1.0,False,2,False,0.3676674532999698,18486.6585916092,"[0.91318871 0.71854375 0.61191213 0.51551557 0.67529714 1.07085381
 0.71611771 0.50742172 0.52114893 0.59949871 0.97610847 0.6951666
 0.51392044 0.74942956 1.43100926 0.69329702 0.77258694 0.66778443
 1.28486879]"
811,1.0,True,0,False,0.224829330756881,17836.851499826098,"[0.61677347 1.41990966 1.10349304 0.53546938 0.99823121 0.80271261
 1.0781077  0.9248497  0.70830965 0.66963238 0.67824171 1.00056162
 1.39303988 0.55584452 0.50473789 0.54412017 0.73268126 0.73368739
 0.74440364]"
811,1.0,True,1,False,0.2079046183523623,16905.42707212117,"[1.07399976 0.571731   1.10102189 0.5009747  0.90890062 0.78389639
 1.24749717 0.6656681  0.92159274 0.91963483 0.51012775 0.70411844
 1.49810906 1.19734092 0.89548555 0.52141979 1.07888997 0.9371256
 0.57983151]"
811,1.0,True,2,False,0.2669888330010156,16604.965281336918,"[0.9903451  0.59518361 1.45357572 0.54933873 1.46372293 1.02140506
 0.89603269 0.54870613 1.1714788  0.53500673 1.49570352 0.76258854
 0.64119571 0.53819828 0.74518964 1.0314714  0.55679749 0.82172969
 1.22773736]"
811,2.0,False,0,False,0.3312202313914413,18843.80902955171,"[1.28825366 1.38557909 1.32617709 0.51890106 0.58211854 1.47849046
 0.50386769 0.51747926 0.54848038 0.68940165 1.02652818 0.59053348
 1.04953918 1.12532803 1.13750529 0.58959998 1.31520196 0.89537527
 1.25888785]"
