bundle_id,bundle_name,bundle_type_id
347,Организация и контроль обеспечения безопасных условий и охраны труда,1
3376,Приготовление пирожных,1
8324,Корпоративное обучение (Риэлтор),1
7764,Промышленный IoT (признаки требований),7
7766,Смарт-гаджеты (признаки требований),7
8654,Установка и замена съемных грузозахватных приспособлений и механизмов,1
8655,ППР грузозахватных механизмов,1
8657,(Товаровед) Управление персоналом,1
7786,AR (признаки требований),7
8610,Формулировки/терминология,1
7895,R3 Corda (признаки требований),7
7898,Блокчейн (признаки требований):,7
7902,Разработка смарт-контрактов (признаки требований),7
8058,Проверка комплектности документации,1
7953,Стипендии во время обучения (признаки требований),7
8470,Обеспечить прием и сохранность кормов,1
7958,Знание систем бронирования,2
7967,Правовое/документальное сопровождение/оформление (Риэлтор),1
7839,Хранение полученных патентов и авторских свидетельств,2
8051,Уметь контролировать затраты на ремонт,1
8107,Ведение сервисных книжек,1
8110,Проведение квалификации оборудования,1
8111,Ведение электронных баз данных оборудования,1
8509,Нанесение маркировки на яйца,1
8112,Проведение работ на высоте,1
8113,Выставление коммерческих предложений,1
8116,ЖКХс Монтаж систем  отопления и ГВС,1
8094,Умение собирать технику и оборудование,1
7956,Подбор туров,1
8026,Составление плана-графика осеменения,1
7966,Сопровождение сделок комм./офис.недвижимости (Риэлтор),1
7904,Токенизация (признаки требований),7
7741,Умение работать в ВЭД,1
1969,Выполнение поручений руководителя и соблюдение исполнительской дисциплины,1
6292,Управление трубоукладчиком Komatsu,1
7877,Большие данные (признаки требований),7
7881,Консультирование по приобретению/покупки (Риэлтор),1
7893,Консультирование по вторич./город./загород./комм.недвижимости (Риэлтор),1
8018,Проверка/сбор документов (Риэлтор),1
8118,ЖКХс ремонт и техническое обслуживание сан-узлов,1
8029,участие в контрольном взвешивании бройлеров,1
7908,Организует работу предприятия по повышению генетического потенциала,1
7810,Показ недвижимости (Риэлтор),1
7759,Ручные и механизированные работы овощевода,1
7640,Надзор за состоянием и ремонтом защитных устройств,1
7645,Опыт ремонта двигателей внутреннего сгорания,9
7646,Знать устройство и принципы работы двигателей внутреннего сгорания,2
7608,Опыт в генетике,9
7641,Подготовка документации на оборудование,1
6077,Уметь обосновывать и защищать принятые конструктивные решения,1
4204,Знание программы SAP,2
6918,Знание условий и процессов перевозок (Логистика),2
7605,BI-системы (признаки требований),7
8199,Проведение встреч (Риэлтор),1
8131,Организация регулярного взвешивания животных,1
7723,Опыт продаж финансовых продуктов,1
8221,Методы описания бизнес-процессов,7
7758,Консультирование по объектам/вопросам недвижимости (Риэлтор),1
1364,Проверка счетов бухгалтерского учета,1
378,Ремонт инструмента и приспособлений (слесарь-инструментальщик) / простые и средней сложности,1
6991,Проектирование систем отопления,1
7807,Обработка заявок (Риэлтор),1
7847,Метавселенные (признаки требований),7
7794,ESG (признаки требований),7
7795,Возобновляемая энергия (признаки требований),7
5784,Организация труда и заработной платы,1
8039,Контроль запуска раздоя и лактации коров,1
8515,участвовать в бонитировке отборе слабой птицы,1
8188,Ведение тел.переговоров (Риэлтор),1
8189,Организация и навыки ведения переговоров (Риэлтор),1
8190,Ведение переговоров с клиентами (Риэлтор),1
8273,ЖКХс ремонт системы водоснабжения,1
8280,ЖКХс Ремонт и техническое обслуживание систем холодоснабжения,1
8281,"ЖКХс общие фразы по обслуживанию, ремонту, сборке  различных деталей, узлов и оборудования",1
8656,Контроль технического состояния погрузчика и грузозахватных механизмов,1
8430,(АГП) Организация подъема и перемещения людей на высоту.,1
8171,Опыт ведения проектов,9
8007,Обработка входящих заявок (Риэлтор),1
8013,Сбор информации (Риэлтор),1
8480,Слежение за потреблением кормов,1
7931,Удалённая работа (признаки требований),7
7593,Организация международных перевозок (Логистика),1
4101,ЖКХа Техническое обслуживание электрических машин,1
65,Сварка трением,1
6901,Организация продаж страховых продуктов,1
8025,планирование движение поголовья его воспроизводства и выращивания молодняка,1
4045,Поиск транспорта (Логистика),1
8172,Знание методов контроля,2
8173,Оптимизация показателей,1
7870,Графы (признаки требований),7
7891,ICO (признаки требований),7
8200,Подготовка показов (Риэлтор),1
7897,Solidity (признаки требований),7
7900,Криптография (признаки требований),7
