,0
Работа на станках с ЧПУ (3542_35),740.0
"Личные установки и ценности, мировоззрение (2043_4)",451.0
Чтение схем/чертежей (ОПТ) (3032_36),219.0
Подготовка станков к работе (3512_35),161.0
Составление и корректировка управляющих программ (3667_35),149.0
Фрезерование (3469_35),84.0
Эксплуатация станочного оборудования (3579_35),80.0
Установка инструмента (3458_35),74.0
"Ответственность , добросовестность (СК) (614_4)",51.0
Использование контрольно-измерительных инструментов (3479_35),41.0
Работа на фрезерном станке с ЧПУ (3645_35),37.0
Наладка оборудования (4078_35),32.0
Высокая работоспособность (СК) (586_4),19.0
Штамповочные работы (3747_35),19.0
Дисциплинированность (СК) (593_4),14.0
Знать систему допусков и посадок (3462_35),10.0
Контроль качества изделий (3466_35),8.0
Целеустремленность (СК) (588_4),6.0
Коммуникабельность (СК) (617_4),3.0
Внимательность (СК) (536_4),3.0
Техническое обслуживание оборудования (4130_35),3.0
Знания устройства и принципа действия станков с ЧПУ (3752_35),3.0
Трудолюбие (СК) (597_4),2.0
Аккуратность (СК) (575_4),2.0
"Саморазвитие, обучаемость (СК) (604_4)",1.0
