,0
"Ответственность , добросовестность (СК) (614_4)",1916.0
"Личные установки и ценности, мировоззрение (2043_4)",1589.0
Дисциплинированность (СК) (593_4),1251.0
Работа на станках с ЧПУ (3542_35),1087.0
Чтение схем/чертежей (ОПТ) (3032_36),1044.0
Подготовка станков к работе (3512_35),654.0
Внимательность (СК) (536_4),438.0
Аккуратность (СК) (575_4),421.0
"Саморазвитие, обучаемость (СК) (604_4)",385.0
Эксплуатация станочного оборудования (3579_35),379.0
Составление и корректировка управляющих программ (3667_35),346.0
Использование контрольно-измерительных инструментов (3479_35),313.0
Фрезерование (3469_35),269.0
Коммуникабельность (СК) (617_4),208.0
Высокая работоспособность (СК) (586_4),197.0
Установка инструмента (3458_35),180.0
Знания устройства и принципа действия станков с ЧПУ (3752_35),174.0
Наладка оборудования (4078_35),158.0
Контроль качества изделий (3466_35),137.0
Целеустремленность (СК) (588_4),114.0
Работа на фрезерном станке с ЧПУ (3645_35),110.0
Трудолюбие (СК) (597_4),98.0
Штамповочные работы (3747_35),88.0
Техническое обслуживание оборудования (4130_35),81.0
Знать систему допусков и посадок (3462_35),75.0
