,0
"Ответственность , добросовестность (СК) (614_4)",813.0
"Личные установки и ценности, мировоззрение (2043_4)",729.0
Чтение схем/чертежей (ОПТ) (3032_36),524.0
Дисциплинированность (СК) (593_4),519.0
Работа на станках с ЧПУ (3542_35),459.0
Внимательность (СК) (536_4),297.0
Подготовка станков к работе (3512_35),295.0
Аккуратность (СК) (575_4),234.0
Составление и корректировка управляющих программ (3667_35),208.0
"Саморазвитие, обучаемость (СК) (604_4)",157.0
Эксплуатация станочного оборудования (3579_35),149.0
Высокая работоспособность (СК) (586_4),111.0
Использование контрольно-измерительных инструментов (3479_35),108.0
Фрезерование (3469_35),102.0
Знания устройства и принципа действия станков с ЧПУ (3752_35),82.0
Техническое обслуживание оборудования (4130_35),78.0
Установка инструмента (3458_35),77.0
Контроль качества изделий (3466_35),67.0
Работа на фрезерном станке с ЧПУ (3645_35),59.0
Наладка оборудования (4078_35),58.0
Целеустремленность (СК) (588_4),56.0
Коммуникабельность (СК) (617_4),54.0
Знать систему допусков и посадок (3462_35),38.0
Трудолюбие (СК) (597_4),35.0
Штамповочные работы (3747_35),21.0
