,0
"Ответственность , добросовестность (СК) (614_4)",1837.0
Дисциплинированность (СК) (593_4),1108.0
"Личные установки и ценности, мировоззрение (2043_4)",1019.0
"Саморазвитие, обучаемость (СК) (604_4)",469.0
Внимательность (СК) (536_4),401.0
Работа на станках с ЧПУ (3542_35),388.0
Подготовка станков к работе (3512_35),335.0
Чтение схем/чертежей (ОПТ) (3032_36),307.0
Аккуратность (СК) (575_4),295.0
Высокая работоспособность (СК) (586_4),229.0
Коммуникабельность (СК) (617_4),214.0
Эксплуатация станочного оборудования (3579_35),195.0
Штамповочные работы (3747_35),186.0
Использование контрольно-измерительных инструментов (3479_35),123.0
Установка инструмента (3458_35),97.0
Составление и корректировка управляющих программ (3667_35),95.0
Трудолюбие (СК) (597_4),85.0
Целеустремленность (СК) (588_4),82.0
Наладка оборудования (4078_35),81.0
Фрезерование (3469_35),78.0
Контроль качества изделий (3466_35),78.0
Работа на фрезерном станке с ЧПУ (3645_35),40.0
Знания устройства и принципа действия станков с ЧПУ (3752_35),32.0
Техническое обслуживание оборудования (4130_35),27.0
Знать систему допусков и посадок (3462_35),6.0
