,0
"Ответственность , добросовестность (СК) (614_4)",97.0
Дисциплинированность (СК) (593_4),70.0
"Личные установки и ценности, мировоззрение (2043_4)",55.0
Ремонт оборудования (4132_35),42.0
Обеспечение правильной эксплуатации оборудования (7278_35),39.0
Выполнение ремонтных работ (ОПТ) (8285_36),30.0
Техническое обслуживание оборудования (4130_35),24.0
Командность (СК) (1371_4),21.0
Коммуникабельность (СК) (617_4),19.0
Разработка графиков выполнения работ (6081_35),19.0
Целеустремленность (СК) (588_4),16.0
"Проведение диагностики, техосмотра и ремонта оборудования и механизмов (7245_35)",12.0
"Саморазвитие, обучаемость (СК) (604_4)",12.0
Оформлять заявки на приобретение материалов и запасных частей (7239_35),9.0
Эксплуатация станочного оборудования (3579_35),8.0
Знание основ технических наук (4136_35),7.0
Аккуратность (СК) (575_4),7.0
Подготовка отчетной документации (6585_35),6.0
Внимательность (СК) (536_4),6.0
Знание компьютерных программ (3753_35),6.0
Разработка мероприятий по достижению безаварийной работы (7287_35),5.0
Разработка мероприятий по повышению эффективности производства (6739_35),5.0
Уметь контролировать качество ремонтных работ (7384_35),5.0
Навыки руководящей работы (6700_35),5.0
Знание нормативной и методической документации (4566_35),4.0
Высокая работоспособность (СК) (586_4),4.0
Контроль за работой и техническим состоянием оборудования (4119_35),4.0
Английский язык (ЯС) (1918_32),4.0
Умение читать конструкторскую и технологическую документацию (3439_35),4.0
Ведение учета (4195_35),4.0
"Организаторские способности, лидерство (СК) (393_4)",3.0
Трудолюбие (СК) (597_4),3.0
Обслуживание холодильного оборудования (7375_35),3.0
Обеспечение бесперебойной работы оборудования (4218_35),3.0
Соблюдение правил охраны труда (ОПТ) (3790_36),2.0
Ведение документации (4135_35),2.0
Уметь контролировать качество технического обслуживания (7385_35),2.0
"Знать конструкцию, режимы работы и правила эксплуатации оборудования (7374_35)",2.0
Оформление дефектных ведомостей (4560_35),1.0
Стрессоустойчивость (СК) (601_4),1.0
Разработка ремонтной документации (6266_35),1.0
"Восприятие, мышление, внимание, память (УСК) (1330_4)",1.0
Кропотливость (СК) (623_4),0.0
Чтение схем/чертежей (ОПТ) (3032_36),0.0
Определять потребность в запасных частях для оборудования (7326_35),0.0
Разработка и внедрение мероприятий по снижению себестоимости продукции (6581_35),0.0
Организация ремонта автотранспорта (7299_35),0.0
Уметь проводить монтаж и пуско-наладку металлообрабатывающих станков (7402_35),0.0
