,0
"Ответственность , добросовестность (СК) (614_4)",1395.0
Дисциплинированность (СК) (593_4),959.0
"Личные установки и ценности, мировоззрение (2043_4)",898.0
ЖКХа техническое обслуживание электротехнического оборудования (2792_29),698.0
ЖКХа общие фразы (2155_29),619.0
Выполнение ремонтных работ (ОПТ) (8285_36),474.0
ЖКХа ремонт электрооборудования (2558_29),463.0
"ЖКХа монтаж, ремонт и обслуживание  электрических сетей и оборудования (2150_29)",263.0
ЖКХа монтаж электро оборудования (2503_29),247.0
Коммуникабельность (СК) (617_4),196.0
Пунктуальность (СК) (612_4),192.0
Командность (СК) (1371_4),189.0
Склонность к здоровому образу жизни (СК) (1662_4),140.0
Аккуратность (СК) (575_4),134.0
Внимательность (СК) (536_4),118.0
ЖКХ общепрофессиональные знания по электрике (2153_29),110.0
Высокая работоспособность (СК) (586_4),108.0
Нравственность (СК) (622_4),51.0
Трудолюбие (СК) (597_4),33.0
ЖКХс Ремонт и обслуживание сантехнических и теплотехнических систем и  оборудования (6084_29),32.0
