,0
"Ответственность , добросовестность (СК) (614_4)",600.0
Дисциплинированность (СК) (593_4),398.0
"Личные установки и ценности, мировоззрение (2043_4)",383.0
ЖКХа общие фразы (2155_29),361.0
ЖКХа техническое обслуживание электротехнического оборудования (2792_29),357.0
Выполнение ремонтных работ (ОПТ) (8285_36),287.0
ЖКХа ремонт электрооборудования (2558_29),238.0
ЖКХа монтаж электро оборудования (2503_29),154.0
"ЖКХа монтаж, ремонт и обслуживание  электрических сетей и оборудования (2150_29)",130.0
Аккуратность (СК) (575_4),97.0
Пунктуальность (СК) (612_4),86.0
Высокая работоспособность (СК) (586_4),77.0
Внимательность (СК) (536_4),69.0
ЖКХ общепрофессиональные знания по электрике (2153_29),65.0
Командность (СК) (1371_4),63.0
Коммуникабельность (СК) (617_4),58.0
Склонность к здоровому образу жизни (СК) (1662_4),37.0
Трудолюбие (СК) (597_4),30.0
ЖКХс Ремонт и обслуживание сантехнических и теплотехнических систем и  оборудования (6084_29),27.0
Нравственность (СК) (622_4),20.0
