,0
"Ответственность , добросовестность (СК) (614_4)",862.0
"Личные установки и ценности, мировоззрение (2043_4)",691.0
Дисциплинированность (СК) (593_4),657.0
ЖКХа техническое обслуживание электротехнического оборудования (2792_29),572.0
ЖКХа общие фразы (2155_29),492.0
Выполнение ремонтных работ (ОПТ) (8285_36),434.0
ЖКХа ремонт электрооборудования (2558_29),338.0
"ЖКХа монтаж, ремонт и обслуживание  электрических сетей и оборудования (2150_29)",220.0
Коммуникабельность (СК) (617_4),190.0
ЖКХа монтаж электро оборудования (2503_29),186.0
Аккуратность (СК) (575_4),181.0
Пунктуальность (СК) (612_4),171.0
Командность (СК) (1371_4),144.0
ЖКХ общепрофессиональные знания по электрике (2153_29),115.0
Внимательность (СК) (536_4),102.0
Высокая работоспособность (СК) (586_4),71.0
Нравственность (СК) (622_4),56.0
ЖКХс Ремонт и обслуживание сантехнических и теплотехнических систем и  оборудования (6084_29),54.0
Склонность к здоровому образу жизни (СК) (1662_4),46.0
Трудолюбие (СК) (597_4),44.0
