,0
Сборка несложных узлов и конструкций (3923_35),269.0
Чтение схем/чертежей (ОПТ) (3032_36),222.0
Работать электроприхваткой (3928_35),92.0
"Личные установки и ценности, мировоззрение (2043_4)",88.0
Сборка сложных узлов (3921_35),77.0
Резка металла (3931_35),42.0
Зачистка сварных швов (3799_35),33.0
Изготовление узлов и конструкций (4081_35),31.0
Разметка деталей (3649_35),27.0
Разметка мест под установку деталей и узлов (3939_35),26.0
Сварочные работы (3934_35),24.0
"Ответственность , добросовестность (СК) (614_4)",20.0
Выполнение работ по сверлению и обработке отверстий (3558_35),16.0
Сборка узлов и конструкций средней сложности (3922_35),12.0
Испытания узлов и конструкций (3926_35),10.0
Опыт механосборки (3920_35),10.0
Дисциплинированность (СК) (593_4),6.0
"Правка деталей, узлов и конструкций (3933_35)",5.0
Выполнение слесарных работ (3552_35),4.0
Командность (СК) (1371_4),4.0
Умение работать с электроинструментом (3578_35),4.0
Аккуратность (СК) (575_4),2.0
Коммуникабельность (СК) (617_4),2.0
Высокая работоспособность (СК) (586_4),1.0
"Саморазвитие, обучаемость (СК) (604_4)",0.0
Склонность к здоровому образу жизни (СК) (1662_4),0.0
Внимательность (СК) (536_4),0.0
Установка крепежа (3941_35),0.0
