,0
"Личные установки и ценности, мировоззрение (2043_4)",2815.0
"Ответственность , добросовестность (СК) (614_4)",2716.0
Коммуникабельность (СК) (617_4),2299.0
Аккуратность (СК) (575_4),2050.0
Дисциплинированность (СК) (593_4),1439.0
"Обеспечение и поддержание чистоты и порядка на столах, в торговом зале и других помещениях предприятия питания (1469_9)",1289.0
Доброжелательность (СК) (1126_4),1198.0
Обслуживание гостей в сфере питания (485_9),1144.0
Командность (СК) (1371_4),1079.0
"Саморазвитие, обучаемость (СК) (604_4)",1019.0
Высокая работоспособность (СК) (586_4),798.0
Вежливость (СК) (581_4),798.0
Пунктуальность (СК) (612_4),773.0
Стрессоустойчивость (СК) (601_4),707.0
Прием и оформление заказа на продукцию или услуги предприятия питания (490_9),592.0
Выполнение заказов в сфере питания (493_9),584.0
"Сервировка столов до, во время и после обслуживания гостей предприятия питания (487_9)",566.0
"Прием и выполнение заказов по бару, приготовление, хранение, выкладка, отдача и продажа различных напитков и другой продукции бара (1461_9)",543.0
"Соблюдение правил этикета и стандартов обслуживания, принятых в сфере питания (1458_9)",541.0
"Знание меню, барной и винной карты, ассортимента дополнительных услуг и сопутствующей продукции (699_9)",478.0
Нравственность (СК) (622_4),473.0
"Выполнение стандартов обслуживания и правил этикета, создание атмосферы гостеприимства (1470_9)",427.0
"Знание этикета, стандартов сервировки столов и обслуживания гостей (1457_9)",421.0
Работа на кассе предприятия питания (3013_9),404.0
"Позитивность, оптимизм (СК) (607_4)",400.0
"Консультирование  гостей по выбору блюд и напитков, рекомендация блюд и напитков (3447_9)",386.0
Активность (СК) (576_4),363.0
Приготовление кофе и кофейных напитков (3503_9),324.0
"Уборка, мытье столов, посуды и столовых приборов (сфера питания) (2090_9)",278.0
