,0
"Личные установки и ценности, мировоззрение (2043_4)",205.0
Выполнение комплекса геодезических работ (1410_10),193.0
Уверенный пользователь AutoCad (6976_10),143.0
Использование нивелира (1398_10),91.0
Ведение исполнительной документации в строительстве (2958_10),66.0
Работы в строительной геодезии (1402_10),54.0
Выполнение контрольно-исполнительной геодезической съемки (8417_10),53.0
Знания нормативных документов (4992_10),52.0
Составление и обновление топогеодезической документации (248_10),42.0
Организация и выполнение производственных заданий при производстве этапа строительных работ (2959_10),33.0
Умение пользоваться геодезическими инструментами (4117_10),30.0
Выполнение разбивочных работ (1446_10),29.0
"Организаторские способности, лидерство (СК) (393_4)",27.0
Знание технологии работ в топогеодезии (1408_10),26.0
Использование геодезического оборудования (1377_10),24.0
"Ответственность , добросовестность (СК) (614_4)",24.0
Знание AutoCAD (3072_10),24.0
Составление топогеодезической документации (1440_10),22.0
Чтение схем/чертежей (ОПТ) (3032_36),22.0
Вынос в натуру объектов (1445_10),22.0
Использование тахеометра (1396_10),20.0
Знание базы нормативно-технического регулирования (8402_10),19.0
Кропотливость (СК) (623_4),18.0
Выполнение топографо-геодезической съемки (247_10),16.0
Знание тахеометра (1671_10),14.0
Внимательность (СК) (536_4),9.0
Дисциплинированность (СК) (593_4),7.0
Стрессоустойчивость (СК) (601_4),6.0
Коммуникабельность (СК) (617_4),4.0
Командность (СК) (1371_4),3.0
Высокая работоспособность (СК) (586_4),3.0
Составление/формирование/подготовка отчетности (ОПТ) (3911_36),2.0
"Восприятие, мышление, внимание, память (УСК) (1330_4)",0.0
