,0
Устройство и принцип работы оборудования (2675_3),132.0
Выполнение ремонтных работ (ОПТ) (8285_36),87.0
Составление/формирование/подготовка отчетности (ОПТ) (3911_36),87.0
"Личные установки и ценности, мировоззрение (2043_4)",74.0
"Установка и регулировка режимов сварки (резки), последовательности наложения швов, выполнения резов (2673_3)",45.0
Наладка автоматического и роботизированного сварочного оборудования (2521_3),35.0
"Саморазвитие, обучаемость (СК) (604_4)",5.0
Настройка сварочного оборудования (46_3),5.0
Дисциплинированность (СК) (593_4),3.0
Обслуживание и ремонт сварочного оборудования (60_3),2.0
Коммуникабельность (СК) (617_4),1.0
Соблюдение правил охраны труда (ОПТ) (3790_36),0.0
Пунктуальность (СК) (612_4),0.0
Внимательность (СК) (536_4),0.0
Знание электрических и электронных схем (263_3),0.0
