is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Личные установки и ценности, мировоззрение (2043_4)","Ответственность , добросовестность (СК) (614_4)",Пунктуальность (СК) (612_4),Навыки по техническому обслуживанию транспортных средств соответствующей категории (без привязки) (1851_28),"Осуществление пассажирских перевозок (автобус, троллейбус, трамвай) (1853_28)",Дисциплинированность (СК) (593_4),Соблюдение правил дорожного движения (1847_28),"Общие знания (водитель трамвая, троллейбуса, трамвая) (1875_28)","Навыки, несвойственные водителю автобуса, троллейбуса, трамвая ( управление автомобилем) (1858_28)","Оформление путевой документации (водители автобуса, троллейбуса, трамвая) (1862_28)",Соблюдение графика движения автобуса по маршруту (1866_28),Знание устройств и технического обслуживания автобуса (1905_28),Выполнение поручений руководителя (ОПТ) (3036_36),Навыки по техническому обслуживанию  автобуса (1910_28),Внимательность (СК) (536_4),Выполнение ремонтных работ (ОПТ) (8285_36),"Вождение транспортных средств (без привязки к автобусу, троллейбусу, трамваю) (1902_28)",Вежливость (СК) (581_4),Вождение автобуса (1899_28),Доброжелательность (СК) (1126_4),Знание правил дорожного движения (1856_28),Воспитанность (СК) (585_4),Стрессоустойчивость (СК) (601_4),Знание устройств и технического обслуживания транспортных средств( без привязки) (1908_28),Целеустремленность (СК) (588_4)
False,2.0,Нижегородская область,0,True,25000.0,74000.0,9457.8652,8199.1261,7737.2035,6270.5993,5323.6579,5150.437,4388.2647,2887.0162,2690.6991,2529.0262,1986.2672,1893.8826,1766.8539,1639.8252,1466.6042,1362.6717,1351.1236,1270.2871,1258.7391,1200.9988,1166.3546,981.5855,819.9126,612.0474,588.9513
False,2.0,Республика Татарстан,0,False,20000.0,110000.0,14058.9888,12187.8901,11501.2484,9321.161,7913.5456,7656.0549,6523.0961,4291.5106,3999.6879,3759.3633,2952.5593,2815.231,2626.4045,2437.578,2180.0874,2025.593,2008.427,1888.2647,1871.0986,1785.2684,1733.7703,1459.1136,1218.789,909.8002,875.4682
False,2.0,Саратовская область,2,False,21750.0,105000.0,13419.9438,11633.8951,10978.4644,8897.4719,7553.839,7308.0524,6226.5918,4096.4419,3817.8839,3588.4831,2818.3521,2687.2659,2507.0225,2326.779,2080.9925,1933.5206,1917.1348,1802.4345,1786.0487,1704.1199,1654.9625,1392.7903,1163.3895,868.4457,835.6742
False,2.0,Саратовская область,2,True,16000.0,25000.0,3195.2247,2769.975,2613.9201,2118.4457,1798.5331,1740.0125,1482.5218,975.3433,909.02,854.4007,671.0362,639.8252,596.9101,553.995,495.4744,460.362,456.4607,429.1511,425.2497,405.7428,394.0387,331.6167,276.9975,206.7728,198.97
False,2.0,Свердловская область,0,False,19000.0,110000.0,14058.9888,12187.8901,11501.2484,9321.161,7913.5456,7656.0549,6523.0961,4291.5106,3999.6879,3759.3633,2952.5593,2815.231,2626.4045,2437.578,2180.0874,2025.593,2008.427,1888.2647,1871.0986,1785.2684,1733.7703,1459.1136,1218.789,909.8002,875.4682
False,2.0,Свердловская область,0,True,18679.0,50000.0,6390.4494,5539.9501,5227.8402,4236.8914,3597.0662,3480.025,2965.0437,1950.6866,1818.04,1708.8015,1342.0724,1279.6504,1193.8202,1107.99,990.9488,920.7241,912.9213,858.3021,850.4994,811.4856,788.0774,663.2335,553.995,413.5456,397.9401
False,2.0,Кемеровская область,1,False,3500.0,130000.0,16615.1685,14403.8702,13592.3845,11015.9176,9352.372,9048.0649,7709.1136,5071.7853,4726.9039,4442.8839,3489.3883,3327.0911,3103.9326,2880.774,2576.4669,2393.8826,2373.5955,2231.5855,2211.2984,2109.8627,2049.0012,1724.407,1440.387,1075.2185,1034.6442
False,2.0,Владимирская область,1,False,16242.0,74000.0,9457.8652,8199.1261,7737.2035,6270.5993,5323.6579,5150.437,4388.2647,2887.0162,2690.6991,2529.0262,1986.2672,1893.8826,1766.8539,1639.8252,1466.6042,1362.6717,1351.1236,1270.2871,1258.7391,1200.9988,1166.3546,981.5855,819.9126,612.0474,588.9513
False,2.0,Брянская область,1,False,18500.0,60000.0,7668.5393,6647.9401,6273.4082,5084.2697,4316.4794,4176.03,3558.0524,2340.824,2181.6479,2050.5618,1610.4869,1535.5805,1432.5843,1329.588,1189.1386,1104.8689,1095.5056,1029.9625,1020.5993,973.7828,945.6929,795.8801,664.794,496.2547,477.5281
False,2.0,Самарская область,0,False,18500.0,120000.0,15337.0787,13295.8801,12546.8165,10168.5393,8632.9588,8352.0599,7116.1049,4681.6479,4363.2959,4101.1236,3220.9738,3071.161,2865.1685,2659.176,2378.2772,2209.7378,2191.0112,2059.9251,2041.1985,1947.5655,1891.3858,1591.7603,1329.588,992.5094,955.0562
False,2.0,Самарская область,0,True,21750.0,37000.0,4728.9326,4099.563,3868.6017,3135.2996,2661.829,2575.2185,2194.1323,1443.5081,1345.3496,1264.5131,993.1336,946.9413,883.427,819.9126,733.3021,681.3358,675.5618,635.1436,629.3695,600.4994,583.1773,490.7928,409.9563,306.0237,294.4757
False,2.0,Оренбургская область,2,False,18679.0,45900.0,5866.4326,5085.6742,4799.1573,3889.4663,3302.1067,3194.6629,2721.9101,1790.7303,1668.9607,1568.6798,1232.0225,1174.7191,1095.927,1017.1348,909.691,845.2247,838.0618,787.9213,780.7584,744.9438,723.4551,608.8483,508.5674,379.6348,365.309
False,2.0,Республика Башкортостан,0,False,18678.0,120000.0,15337.0787,13295.8801,12546.8165,10168.5393,8632.9588,8352.0599,7116.1049,4681.6479,4363.2959,4101.1236,3220.9738,3071.161,2865.1685,2659.176,2378.2772,2209.7378,2191.0112,2059.9251,2041.1985,1947.5655,1891.3858,1591.7603,1329.588,992.5094,955.0562
False,2.0,Челябинская область,0,False,18679.0,150000.0,19171.3483,16619.8502,15683.5206,12710.6742,10791.1985,10440.0749,8895.1311,5852.0599,5454.1199,5126.4045,4026.2172,3838.9513,3581.4607,3323.97,2972.8464,2762.1723,2738.764,2574.9064,2551.4981,2434.4569,2364.2322,1989.7004,1661.985,1240.6367,1193.8202
False,2.0,Липецкая область,1,False,25000.0,45900.0,5866.4326,5085.6742,4799.1573,3889.4663,3302.1067,3194.6629,2721.9101,1790.7303,1668.9607,1568.6798,1232.0225,1174.7191,1095.927,1017.1348,909.691,845.2247,838.0618,787.9213,780.7584,744.9438,723.4551,608.8483,508.5674,379.6348,365.309
False,2.0,Ярославская область,1,False,25000.0,74000.0,9457.8652,8199.1261,7737.2035,6270.5993,5323.6579,5150.437,4388.2647,2887.0162,2690.6991,2529.0262,1986.2672,1893.8826,1766.8539,1639.8252,1466.6042,1362.6717,1351.1236,1270.2871,1258.7391,1200.9988,1166.3546,981.5855,819.9126,612.0474,588.9513
False,2.0,Томская область,1,False,21750.0,105000.0,13419.9438,11633.8951,10978.4644,8897.4719,7553.839,7308.0524,6226.5918,4096.4419,3817.8839,3588.4831,2818.3521,2687.2659,2507.0225,2326.779,2080.9925,1933.5206,1917.1348,1802.4345,1786.0487,1704.1199,1654.9625,1392.7903,1163.3895,868.4457,835.6742
False,2.0,Томская область,1,True,26000.0,26000.0,3323.0337,2880.774,2718.4769,2203.1835,1870.4744,1809.613,1541.8227,1014.3571,945.3808,888.5768,697.8777,665.4182,620.7865,576.1548,515.2934,478.7765,474.7191,446.3171,442.2597,421.9725,409.8002,344.8814,288.0774,215.0437,206.9288
False,2.0,Тверская область,1,False,17000.0,70000.0,8946.6292,7755.9301,7318.9763,5931.6479,5035.8926,4872.035,4151.0612,2730.9613,2545.2559,2392.3221,1878.9014,1791.5106,1671.3483,1551.186,1387.3283,1289.0137,1278.0899,1201.623,1190.6991,1136.0799,1103.3084,928.5268,775.593,578.9638,557.1161
False,2.0,Вологодская область,1,False,21750.0,45900.0,5866.4326,5085.6742,4799.1573,3889.4663,3302.1067,3194.6629,2721.9101,1790.7303,1668.9607,1568.6798,1232.0225,1174.7191,1095.927,1017.1348,909.691,845.2247,838.0618,787.9213,780.7584,744.9438,723.4551,608.8483,508.5674,379.6348,365.309
False,2.0,Рязанская область,1,False,25000.0,74000.0,9457.8652,8199.1261,7737.2035,6270.5993,5323.6579,5150.437,4388.2647,2887.0162,2690.6991,2529.0262,1986.2672,1893.8826,1766.8539,1639.8252,1466.6042,1362.6717,1351.1236,1270.2871,1258.7391,1200.9988,1166.3546,981.5855,819.9126,612.0474,588.9513
False,2.0,Алтайский край,2,False,16242.0,105000.0,13419.9438,11633.8951,10978.4644,8897.4719,7553.839,7308.0524,6226.5918,4096.4419,3817.8839,3588.4831,2818.3521,2687.2659,2507.0225,2326.779,2080.9925,1933.5206,1917.1348,1802.4345,1786.0487,1704.1199,1654.9625,1392.7903,1163.3895,868.4457,835.6742
False,2.0,Алтайский край,2,True,25000.0,25000.0,3195.2247,2769.975,2613.9201,2118.4457,1798.5331,1740.0125,1482.5218,975.3433,909.02,854.4007,671.0362,639.8252,596.9101,553.995,495.4744,460.362,456.4607,429.1511,425.2497,405.7428,394.0387,331.6167,276.9975,206.7728,198.97
False,2.0,Чувашская Республика,1,False,25000.0,60000.0,7668.5393,6647.9401,6273.4082,5084.2697,4316.4794,4176.03,3558.0524,2340.824,2181.6479,2050.5618,1610.4869,1535.5805,1432.5843,1329.588,1189.1386,1104.8689,1095.5056,1029.9625,1020.5993,973.7828,945.6929,795.8801,664.794,496.2547,477.5281
False,2.0,Смоленская область,1,False,25000.0,60000.0,7668.5393,6647.9401,6273.4082,5084.2697,4316.4794,4176.03,3558.0524,2340.824,2181.6479,2050.5618,1610.4869,1535.5805,1432.5843,1329.588,1189.1386,1104.8689,1095.5056,1029.9625,1020.5993,973.7828,945.6929,795.8801,664.794,496.2547,477.5281
False,2.0,Тульская область,1,False,25000.0,60000.0,7668.5393,6647.9401,6273.4082,5084.2697,4316.4794,4176.03,3558.0524,2340.824,2181.6479,2050.5618,1610.4869,1535.5805,1432.5843,1329.588,1189.1386,1104.8689,1095.5056,1029.9625,1020.5993,973.7828,945.6929,795.8801,664.794,496.2547,477.5281
False,2.0,Ивановская область,1,False,25000.0,74000.0,9457.8652,8199.1261,7737.2035,6270.5993,5323.6579,5150.437,4388.2647,2887.0162,2690.6991,2529.0262,1986.2672,1893.8826,1766.8539,1639.8252,1466.6042,1362.6717,1351.1236,1270.2871,1258.7391,1200.9988,1166.3546,981.5855,819.9126,612.0474,588.9513
False,2.0,Ставропольский край,2,False,16242.0,105000.0,13419.9438,11633.8951,10978.4644,8897.4719,7553.839,7308.0524,6226.5918,4096.4419,3817.8839,3588.4831,2818.3521,2687.2659,2507.0225,2326.779,2080.9925,1933.5206,1917.1348,1802.4345,1786.0487,1704.1199,1654.9625,1392.7903,1163.3895,868.4457,835.6742
False,2.0,Ставропольский край,2,True,25000.0,25000.0,3195.2247,2769.975,2613.9201,2118.4457,1798.5331,1740.0125,1482.5218,975.3433,909.02,854.4007,671.0362,639.8252,596.9101,553.995,495.4744,460.362,456.4607,429.1511,425.2497,405.7428,394.0387,331.6167,276.9975,206.7728,198.97
