is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Организаторские способности, лидерство (СК) (393_4)",Консультирование по медицинским услугам (2185_33),Составление и контроль графика приема пациентов (2186_33),Командность (СК) (1371_4),"Ответственность , добросовестность (СК) (614_4)",Клиентоцентричность (клиенториентированность) (СК) (626_4),Исходящие звонки (3581_33),Стрессоустойчивость (СК) (601_4),Внимательность (СК) (536_4),Английский язык (ЯС) (1918_32),"Восприятие, мышление, внимание, память (УСК) (1330_4)",Пунктуальность (СК) (612_4),Вежливость (СК) (581_4)
False,1.0,Ставропольский край,2,False,15000.0,40000.0,4467.0051,4020.3046,3979.6954,3289.3401,3086.2944,2923.8579,2842.6396,2842.6396,2802.0305,2802.0305,2477.1574,2355.3299,2111.6751
False,1.0,Кемеровская область,1,False,15000.0,40000.0,4467.0051,4020.3046,3979.6954,3289.3401,3086.2944,2923.8579,2842.6396,2842.6396,2802.0305,2802.0305,2477.1574,2355.3299,2111.6751
False,1.0,Кемеровская область,1,True,24000.0,24000.0,2680.203,2412.1827,2387.8173,1973.6041,1851.7766,1754.3147,1705.5838,1705.5838,1681.2183,1681.2183,1486.2944,1413.198,1267.0051
False,1.0,Ярославская область,1,False,15000.0,32000.0,3573.6041,3216.2437,3183.7563,2631.4721,2469.0355,2339.0863,2274.1117,2274.1117,2241.6244,2241.6244,1981.7259,1884.264,1689.3401
False,1.0,Вологодская область,1,False,15000.0,40000.0,4467.0051,4020.3046,3979.6954,3289.3401,3086.2944,2923.8579,2842.6396,2842.6396,2802.0305,2802.0305,2477.1574,2355.3299,2111.6751
False,1.0,Оренбургская область,2,False,20000.0,30000.0,3350.2538,3015.2284,2984.7716,2467.0051,2314.7208,2192.8934,2131.9797,2131.9797,2101.5228,2101.5228,1857.868,1766.4975,1583.7563
False,1.0,Республика Марий Эл,1,False,24000.0,30000.0,3350.2538,3015.2284,2984.7716,2467.0051,2314.7208,2192.8934,2131.9797,2131.9797,2101.5228,2101.5228,1857.868,1766.4975,1583.7563
False,1.0,Омская область,1,False,15000.0,35000.0,3908.6294,3517.7665,3482.2335,2878.1726,2700.5076,2558.3756,2487.3096,2487.3096,2451.7766,2451.7766,2167.5127,2060.9137,1847.7157
False,1.0,Омская область,1,True,15000.0,15000.0,1675.1269,1507.6142,1492.3858,1233.5025,1157.3604,1096.4467,1065.9898,1065.9898,1050.7614,1050.7614,928.934,883.2487,791.8782
False,1.0,Республика Дагестан,1,False,20000.0,33500.0,3741.1168,3367.0051,3332.9949,2754.8223,2584.7716,2448.731,2380.7107,2380.7107,2346.7005,2346.7005,2074.6193,1972.5888,1768.5279
False,1.0,Удмуртская Республика,1,False,20000.0,30000.0,3350.2538,3015.2284,2984.7716,2467.0051,2314.7208,2192.8934,2131.9797,2131.9797,2101.5228,2101.5228,1857.868,1766.4975,1583.7563
False,1.0,Тульская область,1,False,20000.0,35000.0,3908.6294,3517.7665,3482.2335,2878.1726,2700.5076,2558.3756,2487.3096,2487.3096,2451.7766,2451.7766,2167.5127,2060.9137,1847.7157
False,1.0,Томская область,1,False,15000.0,36000.0,4020.3046,3618.2741,3581.7259,2960.4061,2777.665,2631.4721,2558.3756,2558.3756,2521.8274,2521.8274,2229.4416,2119.797,1900.5076
