is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),Укладка плитки (250_10),"Личные установки и ценности, мировоззрение (2043_4)",Аккуратность (СК) (575_4),"Облицовка плиткой (стены, потолки и прочие конструкции) (818_10)",Командность (СК) (1371_4),Подготовка к облицовке плиткой (815_10),Нравственность (СК) (622_4),Коммуникабельность (СК) (617_4),Высокая работоспособность (СК) (586_4),Внимательность (СК) (536_4),Пунктуальность (СК) (612_4),Выполнение ремонтных работ (ОПТ) (8285_36),Трудолюбие (СК) (597_4)
False,1.0,Сахалинская область,1,False,25000.0,40000.0,9197.9153,6076.0137,4189.653,4169.3149,4154.0613,2440.5746,2033.8121,1138.9348,1118.5967,1088.0895,1037.2442,966.0608,955.8917,910.1309,523.7066
False,1.0,Томская область,1,False,16976.5,85000.0,19545.5701,12911.5292,8903.0126,8859.7941,8827.3802,5186.2209,4321.8508,2420.2364,2377.0179,2312.1902,2204.1439,2052.8791,2031.2699,1934.0282,1112.8766
False,1.0,Республика Крым,1,False,12500.0,70000.0,16096.3518,10633.024,7331.8927,7296.301,7269.6072,4271.0055,3559.1712,1993.1359,1957.5442,1904.1566,1815.1773,1690.6063,1672.8105,1592.7291,916.4866
False,1.0,Белгородская область,2,False,16976.5,80000.0,18395.8307,12152.0275,8379.306,8338.6297,8308.1225,4881.1491,4067.6243,2277.8696,2237.1933,2176.179,2074.4884,1932.1215,1911.7834,1820.2619,1047.4132
False,1.0,Забайкальский край,1,False,30000.0,79145.0,18199.2252,12022.1527,8289.7521,8249.5106,8219.3295,4828.9818,4024.1515,2253.5249,2213.2833,2152.9211,2052.3173,1911.472,1891.3512,1800.8078,1036.219
False,1.0,Еврейская автономная область,1,False,22670.0,50000.0,11497.3942,7595.0172,5237.0662,5211.6436,5192.5766,3050.7182,2542.2652,1423.6685,1398.2458,1360.1119,1296.5552,1207.576,1194.8646,1137.6637,654.6333
False,1.0,Ставропольский край,2,False,15000.0,105000.0,24144.5278,15949.536,10997.8391,10944.4515,10904.4108,6406.5082,5338.7568,2989.7038,2936.3163,2856.2349,2722.766,2535.9095,2509.2157,2389.0937,1374.7299
False,1.0,Чувашская Республика,1,False,25000.0,96000.0,22074.9968,14582.4329,10055.1672,10006.3557,9969.747,5857.3789,4881.1491,2733.4435,2684.632,2611.4148,2489.386,2318.5458,2294.1401,2184.3142,1256.8959
False,1.0,Орловская область,1,False,15000.0,84000.0,19315.6222,12759.6288,8798.2713,8755.5612,8723.5287,5125.2066,4271.0055,2391.7631,2349.053,2284.9879,2178.2128,2028.7276,2007.3726,1911.2749,1099.7839
False,1.0,Свердловская область,0,False,15000.0,70000.0,16096.3518,10633.024,7331.8927,7296.301,7269.6072,4271.0055,3559.1712,1993.1359,1957.5442,1904.1566,1815.1773,1690.6063,1672.8105,1592.7291,916.4866
False,1.0,Свердловская область,0,True,25000.0,40000.0,9197.9153,6076.0137,4189.653,4169.3149,4154.0613,2440.5746,2033.8121,1138.9348,1118.5967,1088.0895,1037.2442,966.0608,955.8917,910.1309,523.7066
False,1.0,Калининградская область,1,False,15000.0,85000.0,19545.5701,12911.5292,8903.0126,8859.7941,8827.3802,5186.2209,4321.8508,2420.2364,2377.0179,2312.1902,2204.1439,2052.8791,2031.2699,1934.0282,1112.8766
False,1.0,Республика Карелия,1,False,20000.0,70000.0,16096.3518,10633.024,7331.8927,7296.301,7269.6072,4271.0055,3559.1712,1993.1359,1957.5442,1904.1566,1815.1773,1690.6063,1672.8105,1592.7291,916.4866
False,1.0,Пензенская область,1,False,15000.0,84000.0,19315.6222,12759.6288,8798.2713,8755.5612,8723.5287,5125.2066,4271.0055,2391.7631,2349.053,2284.9879,2178.2128,2028.7276,2007.3726,1911.2749,1099.7839
False,1.0,Ярославская область,1,False,15000.0,105000.0,24144.5278,15949.536,10997.8391,10944.4515,10904.4108,6406.5082,5338.7568,2989.7038,2936.3163,2856.2349,2722.766,2535.9095,2509.2157,2389.0937,1374.7299
False,1.0,Иркутская область,1,False,15000.0,85000.0,19545.5701,12911.5292,8903.0126,8859.7941,8827.3802,5186.2209,4321.8508,2420.2364,2377.0179,2312.1902,2204.1439,2052.8791,2031.2699,1934.0282,1112.8766
False,1.0,Кемеровская область,1,False,20000.0,85000.0,19545.5701,12911.5292,8903.0126,8859.7941,8827.3802,5186.2209,4321.8508,2420.2364,2377.0179,2312.1902,2204.1439,2052.8791,2031.2699,1934.0282,1112.8766
False,1.0,Мурманская область,1,False,15000.0,50000.0,11497.3942,7595.0172,5237.0662,5211.6436,5192.5766,3050.7182,2542.2652,1423.6685,1398.2458,1360.1119,1296.5552,1207.576,1194.8646,1137.6637,654.6333
False,1.0,Архангельская область,1,False,20000.0,66000.0,15176.5603,10025.4227,6912.9274,6879.3695,6854.2011,4026.948,3355.79,1879.2424,1845.6845,1795.3477,1711.4529,1594.0003,1577.2213,1501.716,864.1159
False,1.0,Удмуртская Республика,1,False,15000.0,84000.0,19315.6222,12759.6288,8798.2713,8755.5612,8723.5287,5125.2066,4271.0055,2391.7631,2349.053,2284.9879,2178.2128,2028.7276,2007.3726,1911.2749,1099.7839
False,1.0,Владимирская область,1,False,20000.0,96000.0,22074.9968,14582.4329,10055.1672,10006.3557,9969.747,5857.3789,4881.1491,2733.4435,2684.632,2611.4148,2489.386,2318.5458,2294.1401,2184.3142,1256.8959
False,1.0,Тюменская область,1,False,15000.0,80000.0,18395.8307,12152.0275,8379.306,8338.6297,8308.1225,4881.1491,4067.6243,2277.8696,2237.1933,2176.179,2074.4884,1932.1215,1911.7834,1820.2619,1047.4132
False,1.0,Алтайский край,2,False,15000.0,85000.0,19545.5701,12911.5292,8903.0126,8859.7941,8827.3802,5186.2209,4321.8508,2420.2364,2377.0179,2312.1902,2204.1439,2052.8791,2031.2699,1934.0282,1112.8766
False,1.0,Ленинградская область,1,False,30207.5,66000.0,15176.5603,10025.4227,6912.9274,6879.3695,6854.2011,4026.948,3355.79,1879.2424,1845.6845,1795.3477,1711.4529,1594.0003,1577.2213,1501.716,864.1159
False,1.0,Новосибирская область,0,False,15000.0,70000.0,16096.3518,10633.024,7331.8927,7296.301,7269.6072,4271.0055,3559.1712,1993.1359,1957.5442,1904.1566,1815.1773,1690.6063,1672.8105,1592.7291,916.4866
False,1.0,Смоленская область,1,False,2000.0,84000.0,19315.6222,12759.6288,8798.2713,8755.5612,8723.5287,5125.2066,4271.0055,2391.7631,2349.053,2284.9879,2178.2128,2028.7276,2007.3726,1911.2749,1099.7839
False,1.0,Тверская область,1,False,15000.0,96000.0,22074.9968,14582.4329,10055.1672,10006.3557,9969.747,5857.3789,4881.1491,2733.4435,2684.632,2611.4148,2489.386,2318.5458,2294.1401,2184.3142,1256.8959
False,1.0,Тверская область,1,True,40000.0,40000.0,9197.9153,6076.0137,4189.653,4169.3149,4154.0613,2440.5746,2033.8121,1138.9348,1118.5967,1088.0895,1037.2442,966.0608,955.8917,910.1309,523.7066
False,1.0,Самарская область,0,False,20000.0,84000.0,19315.6222,12759.6288,8798.2713,8755.5612,8723.5287,5125.2066,4271.0055,2391.7631,2349.053,2284.9879,2178.2128,2028.7276,2007.3726,1911.2749,1099.7839
False,1.0,Тульская область,1,False,15000.0,70000.0,16096.3518,10633.024,7331.8927,7296.301,7269.6072,4271.0055,3559.1712,1993.1359,1957.5442,1904.1566,1815.1773,1690.6063,1672.8105,1592.7291,916.4866
False,1.0,Магаданская область,1,False,15000.0,70000.0,16096.3518,10633.024,7331.8927,7296.301,7269.6072,4271.0055,3559.1712,1993.1359,1957.5442,1904.1566,1815.1773,1690.6063,1672.8105,1592.7291,916.4866
False,1.0,Рязанская область,1,False,20000.0,96000.0,22074.9968,14582.4329,10055.1672,10006.3557,9969.747,5857.3789,4881.1491,2733.4435,2684.632,2611.4148,2489.386,2318.5458,2294.1401,2184.3142,1256.8959
False,1.0,Воронежская область,2,False,20000.0,70000.0,16096.3518,10633.024,7331.8927,7296.301,7269.6072,4271.0055,3559.1712,1993.1359,1957.5442,1904.1566,1815.1773,1690.6063,1672.8105,1592.7291,916.4866
False,1.0,Астраханская область,1,False,20000.0,70000.0,16096.3518,10633.024,7331.8927,7296.301,7269.6072,4271.0055,3559.1712,1993.1359,1957.5442,1904.1566,1815.1773,1690.6063,1672.8105,1592.7291,916.4866
False,1.0,Республика Коми,1,False,25000.0,84000.0,19315.6222,12759.6288,8798.2713,8755.5612,8723.5287,5125.2066,4271.0055,2391.7631,2349.053,2284.9879,2178.2128,2028.7276,2007.3726,1911.2749,1099.7839
False,1.0,Курская область,2,False,32000.0,70000.0,16096.3518,10633.024,7331.8927,7296.301,7269.6072,4271.0055,3559.1712,1993.1359,1957.5442,1904.1566,1815.1773,1690.6063,1672.8105,1592.7291,916.4866
False,1.0,Псковская область,1,False,25000.0,50000.0,11497.3942,7595.0172,5237.0662,5211.6436,5192.5766,3050.7182,2542.2652,1423.6685,1398.2458,1360.1119,1296.5552,1207.576,1194.8646,1137.6637,654.6333
False,1.0,Хабаровский край,1,False,25000.0,70000.0,16096.3518,10633.024,7331.8927,7296.301,7269.6072,4271.0055,3559.1712,1993.1359,1957.5442,1904.1566,1815.1773,1690.6063,1672.8105,1592.7291,916.4866
False,1.0,Республика Марий Эл,1,False,35000.0,70000.0,16096.3518,10633.024,7331.8927,7296.301,7269.6072,4271.0055,3559.1712,1993.1359,1957.5442,1904.1566,1815.1773,1690.6063,1672.8105,1592.7291,916.4866
False,1.0,Республика Хакасия,1,False,40000.0,84000.0,19315.6222,12759.6288,8798.2713,8755.5612,8723.5287,5125.2066,4271.0055,2391.7631,2349.053,2284.9879,2178.2128,2028.7276,2007.3726,1911.2749,1099.7839
False,1.0,Республика Северная Осетия,1,False,40000.0,40000.0,9197.9153,6076.0137,4189.653,4169.3149,4154.0613,2440.5746,2033.8121,1138.9348,1118.5967,1088.0895,1037.2442,966.0608,955.8917,910.1309,523.7066
