is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)","Личные установки и ценности, мировоззрение (2043_4)",Дисциплинированность (СК) (593_4)
False,0.0,Город федерального значения Санкт-Петербург,0,False,40000.0,40000.0,16309.8592,13915.493,9774.6479
False,0.0,Республика Крым,1,False,13000.0,40000.0,16309.8592,13915.493,9774.6479
False,0.0,Республика Тыва,1,False,18000.0,18000.0,7339.4366,6261.9718,4398.5915
False,0.0,Тульская область,1,False,11440.0,35000.0,14271.1268,12176.0563,8552.8169
False,0.0,Забайкальский край,1,False,20000.0,20000.0,8154.9296,6957.7465,4887.3239
False,0.0,Свердловская область,0,False,13920.0,13920.0,5675.831,4842.5915,3401.5775
False,0.0,Республика Карелия,1,False,24155.0,30000.0,12232.3944,10436.6197,7330.9859
False,0.0,Республика Саха (Якутия),1,False,24250.0,45000.0,18348.5915,15654.9296,10996.4789
False,0.0,Камчатский край,1,False,29750.0,35000.0,14271.1268,12176.0563,8552.8169
False,0.0,Хабаровский край,1,False,16000.0,45000.0,18348.5915,15654.9296,10996.4789
False,0.0,Ярославская область,1,False,26500.0,30000.0,12232.3944,10436.6197,7330.9859
False,0.0,Архангельская область,1,False,24250.0,24250.0,9887.8521,8436.2676,5925.8803
False,0.0,Кировская область,1,False,30000.0,30000.0,12232.3944,10436.6197,7330.9859
False,0.0,Приморский край,1,False,28143.0,43000.0,17533.0986,14959.1549,10507.7465
False,0.0,Город федерального значения Москва,0,False,24000.0,60000.0,24464.7887,20873.2394,14661.9718
False,0.0,Сахалинская область,1,False,21000.0,43936.0,17914.7493,15284.7775,10736.4732
False,0.0,Вологодская область,1,False,55000.0,55000.0,22426.0563,19133.8028,13440.1408
False,1.0,Оренбургская область,2,False,13000.0,15000.0,6116.1972,5218.3099,3665.493
False,1.0,Мурманская область,1,False,14281.0,14281.0,5823.0275,4968.1789,3489.7937
False,1.0,Самарская область,0,False,30000.0,30000.0,12232.3944,10436.6197,7330.9859
False,1.0,Краснодарский край,0,False,12400.0,12400.0,5056.0563,4313.8028,3030.1408
False,1.0,Республика Татарстан,0,False,20000.0,30000.0,12232.3944,10436.6197,7330.9859
False,1.0,Ростовская область,0,False,35000.0,35000.0,14271.1268,12176.0563,8552.8169
False,1.0,Воронежская область,2,False,23000.0,35000.0,14271.1268,12176.0563,8552.8169
False,1.0,Новосибирская область,0,False,25000.0,25000.0,10193.662,8697.1831,6109.1549
False,1.0,Тверская область,1,False,30000.0,30000.0,12232.3944,10436.6197,7330.9859
