is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),Аккуратность (СК) (575_4),"Личные установки и ценности, мировоззрение (2043_4)",Командность (СК) (1371_4),Пунктуальность (СК) (612_4),Штукатурка (713_10),Укладка плитки (250_10),Нравственность (СК) (622_4),Выполнение ремонтных работ (ОПТ) (8285_36),Высокая работоспособность (СК) (586_4),Коммуникабельность (СК) (617_4),Приготовление штукатурных растворов и смесей (448_10),Ремонт штукатурки (357_10),Трудолюбие (СК) (597_4),Выполнение штукатурки (456_10)
False,0.0,Свердловская область,0,False,12000.0,60000.0,13647.541,8668.0328,6352.459,5112.7049,3422.1311,3247.9508,2459.0164,2438.5246,2274.5902,2151.6393,2131.1475,2110.6557,1711.0656,1670.082,1547.1311,1055.3279
False,0.0,Свердловская область,0,True,36625.0,39125.0,8899.334,5652.2797,4142.3327,3333.9097,2231.5147,2117.9346,1603.4836,1590.1212,1483.2223,1403.0482,1389.6858,1376.3234,1115.7573,1089.0326,1008.8584,688.1617
False,0.0,Кабардино-Балкарская Республика,1,False,12000.0,39125.0,8899.334,5652.2797,4142.3327,3333.9097,2231.5147,2117.9346,1603.4836,1590.1212,1483.2223,1403.0482,1389.6858,1376.3234,1115.7573,1089.0326,1008.8584,688.1617
False,0.0,Кемеровская область,1,False,12837.0,50000.0,11372.9508,7223.3607,5293.7158,4260.5874,2851.776,2706.6257,2049.1803,2032.1038,1895.4918,1793.0328,1775.9563,1758.8798,1425.888,1391.735,1289.276,879.4399
False,0.0,Республика Марий Эл,1,False,15769.0,39125.0,8899.334,5652.2797,4142.3327,3333.9097,2231.5147,2117.9346,1603.4836,1590.1212,1483.2223,1403.0482,1389.6858,1376.3234,1115.7573,1089.0326,1008.8584,688.1617
False,0.0,Город федерального значения Севастополь,1,False,12837.0,36625.0,8330.6865,5291.1117,3877.6469,3120.8803,2088.9259,1982.6033,1501.0246,1488.5161,1388.4477,1313.3965,1300.888,1288.3794,1044.4629,1019.4459,944.3946,644.1897
False,0.0,Республика Крым,1,False,22081.5,35000.0,7961.0656,5056.3525,3705.6011,2982.4112,1996.2432,1894.638,1434.4262,1422.4727,1326.8443,1255.123,1243.1694,1231.2158,998.1216,974.2145,902.4932,615.6079
False,0.0,Еврейская автономная область,1,False,18049.0,38529.0,8763.7684,5566.1773,4079.2316,3283.1235,2197.5215,2085.6716,1579.0574,1565.8986,1460.6281,1381.6752,1368.5164,1355.3576,1098.7608,1072.4431,993.4903,677.6788
False,0.0,Нижегородская область,0,False,14000.0,70000.0,15922.1311,10112.7049,7411.2022,5964.8224,3992.4863,3789.276,2868.8525,2844.9454,2653.6885,2510.2459,2486.3388,2462.4317,1996.2432,1948.429,1804.9863,1231.2158
False,0.0,Республика Мордовия,1,False,15000.0,43500.0,9894.4672,6284.3238,4605.5328,3706.7111,2481.0451,2354.7643,1782.7869,1767.9303,1649.0779,1559.9385,1545.082,1530.2254,1240.5225,1210.8094,1121.6701,765.1127
