is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),"Личные установки и ценности, мировоззрение (2043_4)",Выполнение конструктивных расчетов (5545_35),Знание компьютерных программ (3753_35),Внимательность (СК) (536_4),Разработка рабочей конструкторской документации (5537_35),Знания SCAD (5251_10),Английский язык (ЯС) (1918_32),Разработка проектной документации (5541_35),Навыки трехмерного моделирования (5475_35),Умение работать в САПР (5244_35),"Саморазвитие, обучаемость (СК) (604_4)",Знание нормативной и методической документации (4566_35),Командность (СК) (1371_4),Подготовка чертежей по специальности или профилю работы (7181_10),"Организаторские способности, лидерство (СК) (393_4)",Коммуникабельность (СК) (617_4),Руководство конструкторским отделом (5674_35),Кропотливость (СК) (623_4),Разработка технических заданий (5551_35),Руководство проектными работами (6044_35),Разработка конструкторской документации (7077_10),Конструкторское сопровождение опытного и серийного производства (5518_35),Проверка проектной и конструкторской документации (5652_35),Стрессоустойчивость (СК) (601_4),Чтение схем/чертежей (ОПТ) (3032_36),Аккуратность (СК) (575_4),Согласование конструкторской документации (5543_35),Знание ЕСКД (7062_10),Навык работы с офисными компьютерными программами (5249_35)
False,2.0,Самарская область,0,True,33000.0,33000.0,6629.9659,3243.8138,2030.193,1970.2611,1775.4824,1738.025,1595.6867,1228.6039,1033.8252,913.9614,824.0636,726.6742,689.2168,674.2338,614.3019,546.8785,524.4041,516.9126,509.4211,501.9296,479.4552,471.9637,464.4722,464.4722,427.0148,412.0318,404.5403,397.0488,397.0488,397.0488,397.0488
False,2.0,Республика Башкортостан,0,False,20018.25,200000.0,40181.6118,19659.4779,12304.1998,11940.9762,10760.4994,10533.4847,9670.8286,7446.084,6265.6073,5539.16,4994.3246,4404.0863,4177.0715,4086.2656,3723.042,3314.4154,3178.2066,3132.8036,3087.4007,3041.9977,2905.7889,2860.3859,2814.983,2814.983,2587.9682,2497.1623,2451.7594,2406.3564,2406.3564,2406.3564,2406.3564
False,2.0,Московская область,2,False,30000.0,175000.0,35158.9103,17202.0431,10766.1748,10448.3541,9415.437,9216.7991,8461.975,6515.3235,5482.4064,4846.765,4370.0341,3853.5755,3654.9376,3575.4824,3257.6617,2900.1135,2780.9308,2741.2032,2701.4756,2661.748,2542.5653,2502.8377,2463.1101,2463.1101,2264.4722,2185.017,2145.2894,2105.5619,2105.5619,2105.5619,2105.5619
False,2.0,Московская область,2,True,58000.0,80000.0,16072.6447,7863.7911,4921.6799,4776.3905,4304.1998,4213.3939,3868.3314,2978.4336,2506.2429,2215.664,1997.7299,1761.6345,1670.8286,1634.5062,1489.2168,1325.7662,1271.2826,1253.1215,1234.9603,1216.7991,1162.3156,1144.1544,1125.9932,1125.9932,1035.1873,998.8649,980.7037,962.5426,962.5426,962.5426,962.5426
False,2.0,Красноярский край,1,False,28461.25,130000.0,26118.0477,12778.6606,7997.7299,7761.6345,6994.3246,6846.765,6286.0386,4839.9546,4072.6447,3600.454,3246.311,2862.6561,2715.0965,2656.0726,2419.9773,2154.37,2065.8343,2036.3224,2006.8104,1977.2985,1888.7628,1859.2509,1829.7389,1829.7389,1682.1793,1623.1555,1593.6436,1564.1317,1564.1317,1564.1317,1564.1317
False,2.0,Челябинская область,0,False,20018.25,160000.0,32145.2894,15727.5823,9843.3598,9552.7809,8608.3995,8426.7877,7736.6629,5956.8672,5012.4858,4431.328,3995.4597,3523.269,3341.6572,3269.0125,2978.4336,2651.5323,2542.5653,2506.2429,2469.9205,2433.5982,2324.6311,2288.3087,2251.9864,2251.9864,2070.3746,1997.7299,1961.4075,1925.0851,1925.0851,1925.0851,1925.0851
False,2.0,Челябинская область,0,True,25000.0,40000.0,8036.3224,3931.8956,2460.84,2388.1952,2152.0999,2106.6969,1934.1657,1489.2168,1253.1215,1107.832,998.8649,880.8173,835.4143,817.2531,744.6084,662.8831,635.6413,626.5607,617.4801,608.3995,581.1578,572.0772,562.9966,562.9966,517.5936,499.4325,490.3519,481.2713,481.2713,481.2713,481.2713
False,2.0,Хабаровский край,1,False,28461.25,100000.0,20090.8059,9829.7389,6152.0999,5970.4881,5380.2497,5266.7423,4835.4143,3723.042,3132.8036,2769.58,2497.1623,2202.0431,2088.5358,2043.1328,1861.521,1657.2077,1589.1033,1566.4018,1543.7003,1520.9989,1452.8944,1430.193,1407.4915,1407.4915,1293.9841,1248.5812,1225.8797,1203.1782,1203.1782,1203.1782,1203.1782
False,2.0,Хабаровский край,1,True,28461.25,45000.0,9040.8627,4423.3825,2768.4449,2686.7196,2421.1124,2370.0341,2175.9364,1675.3689,1409.7616,1246.311,1123.723,990.9194,939.8411,919.4098,837.6844,745.7435,715.0965,704.8808,694.6652,684.4495,653.8025,643.5868,633.3712,633.3712,582.2928,561.8615,551.6459,541.4302,541.4302,541.4302,541.4302
False,2.0,Пензенская область,1,False,20018.25,100000.0,20090.8059,9829.7389,6152.0999,5970.4881,5380.2497,5266.7423,4835.4143,3723.042,3132.8036,2769.58,2497.1623,2202.0431,2088.5358,2043.1328,1861.521,1657.2077,1589.1033,1566.4018,1543.7003,1520.9989,1452.8944,1430.193,1407.4915,1407.4915,1293.9841,1248.5812,1225.8797,1203.1782,1203.1782,1203.1782,1203.1782
