is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),"Личные установки и ценности, мировоззрение (2043_4)",ЖКХа общие фразы (2155_29),ЖКХа техническое обслуживание электротехнического оборудования (2792_29),Выполнение ремонтных работ (ОПТ) (8285_36),ЖКХа ремонт электрооборудования (2558_29),ЖКХа техническое обслуживание электрической части (2669_29),ЖКХа общие фразы по обслуживанию и ремонту узлов/оборудования (3803_29),"ЖКХа Заземление и зануление, проверка изоляции (2658_29)",Пунктуальность (СК) (612_4),"ЖКХа монтаж, ремонт и обслуживание  электрических сетей и оборудования (2150_29)",Аккуратность (СК) (575_4),Внимательность (СК) (536_4),ЖКХ общепрофессиональные знания по электрике (2153_29),ЖКХа монтаж электро оборудования (2503_29),ЖКХа Контроль за работой оборудования (3901_29),ЖКХа Умение читать электрические схемы (3681_29),ЖКХа Техническое обслуживание электрических машин (4101_29),Выполнение монтажных/демонтажных работ (ОПТ) (8301_36),"ЖКХа Сборка, обслуживание и ремонт узлов электрических сетей и оборудования (2151_29)"
False,1.0,Забайкальский край,1,False,20775.0,120000.0,24927.8997,17479.6238,13768.0251,10357.3668,8275.8621,6269.5925,6043.8871,5090.9091,3887.1473,2457.6803,2432.6019,2357.3668,2181.8182,2181.8182,2106.5831,2106.5831,1931.0345,1780.5643,1680.2508,1354.232,1329.1536
False,1.0,Пермский край,1,False,15000.0,120000.0,24927.8997,17479.6238,13768.0251,10357.3668,8275.8621,6269.5925,6043.8871,5090.9091,3887.1473,2457.6803,2432.6019,2357.3668,2181.8182,2181.8182,2106.5831,2106.5831,1931.0345,1780.5643,1680.2508,1354.232,1329.1536
False,1.0,Город федерального значения Санкт-Петербург,0,False,23000.0,120000.0,24927.8997,17479.6238,13768.0251,10357.3668,8275.8621,6269.5925,6043.8871,5090.9091,3887.1473,2457.6803,2432.6019,2357.3668,2181.8182,2181.8182,2106.5831,2106.5831,1931.0345,1780.5643,1680.2508,1354.232,1329.1536
False,1.0,Город федерального значения Санкт-Петербург,0,True,23000.0,47100.0,9784.2006,6860.7524,5403.9498,4065.2665,3248.2759,2460.815,2372.2257,1998.1818,1525.7053,964.6395,954.7962,925.2665,856.3636,856.3636,826.8339,826.8339,757.931,698.8715,659.4984,531.5361,521.6928
False,1.0,Волгоградская область,2,False,16242.0,70000.0,14541.2748,10196.4472,8031.348,6041.7973,4827.5862,3657.2623,3525.6008,2969.697,2267.5026,1433.6468,1419.0178,1375.1306,1272.7273,1272.7273,1228.8401,1228.8401,1126.4368,1038.6625,980.1463,789.9687,775.3396
False,1.0,Волгоградская область,2,True,8121.0,8121.0,1686.9956,1182.9335,931.7511,700.9348,560.069,424.2947,409.0201,344.5273,263.0627,166.3235,164.6263,159.5348,147.6545,147.6545,142.563,142.563,130.6828,120.4997,113.711,91.6476,89.9505
False,1.0,Республика Коми,1,False,20775.0,105000.0,21811.9122,15294.6708,12047.0219,9062.6959,7241.3793,5485.8934,5288.4013,4454.5455,3401.2539,2150.4702,2128.5266,2062.6959,1909.0909,1909.0909,1843.2602,1843.2602,1689.6552,1557.9937,1470.2194,1184.953,1163.0094
False,1.0,Пензенская область,1,False,12000.0,49000.0,10178.8924,7137.5131,5621.9436,4229.2581,3379.3103,2560.0836,2467.9206,2078.7879,1587.2518,1003.5528,993.3124,962.5914,890.9091,890.9091,860.1881,860.1881,788.5057,727.0637,686.1024,552.9781,542.7377
False,1.0,Саратовская область,2,False,12000.0,45000.0,9347.9624,6554.8589,5163.0094,3884.0125,3103.4483,2351.0972,2266.4577,1909.0909,1457.6803,921.6301,912.2257,884.0125,818.1818,818.1818,789.9687,789.9687,724.1379,667.7116,630.094,507.837,498.4326
False,1.0,Республика Марий Эл,1,False,12000.0,40000.0,8309.2999,5826.5413,4589.3417,3452.4556,2758.6207,2089.8642,2014.629,1696.9697,1295.7158,819.2268,810.8673,785.7889,727.2727,727.2727,702.1944,702.1944,643.6782,593.5214,560.0836,451.4107,443.0512
False,1.0,Смоленская область,1,False,12000.0,100000.0,20773.2497,14566.3532,11473.3542,8631.139,6896.5517,5224.6604,5036.5726,4242.4242,3239.2894,2048.0669,2027.1682,1964.4723,1818.1818,1818.1818,1755.4859,1755.4859,1609.1954,1483.8036,1400.209,1128.5266,1107.628
False,1.0,Республика Крым,1,False,12000.0,60000.0,12463.9498,8739.8119,6884.0125,5178.6834,4137.931,3134.7962,3021.9436,2545.4545,1943.5737,1228.8401,1216.3009,1178.6834,1090.9091,1090.9091,1053.2915,1053.2915,965.5172,890.2821,840.1254,677.116,664.5768
False,1.0,Республика Крым,1,True,15500.0,15500.0,3219.8537,2257.7847,1778.3699,1337.8265,1068.9655,809.8224,780.6688,657.5758,502.0899,317.4504,314.2111,304.4932,281.8182,281.8182,272.1003,272.1003,249.4253,229.9896,217.0324,174.9216,171.6823
