is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),Коммуникабельность (СК) (617_4),"Личные установки и ценности, мировоззрение (2043_4)",Командность (СК) (1371_4),Грамотность (СК) (1368_4),Внимательность (СК) (536_4),Содействие в консультировании по вопросам социальной защиты (277_1),"Саморазвитие, обучаемость (СК) (604_4)","Определение объема и форм социальной помощи, методов и технологий социальной работы (407_1)",Работа с информацией (356_1),Предоставление социальных услуг (183_1)
False,0.0,Кировская область,1,False,9000.0,30000.0,5937.2666,4570.5751,4503.3607,3293.5026,2554.1449,1523.525,1501.1202,1501.1202,1187.4533,1142.6438,1142.6438,1142.6438
False,0.0,Кировская область,1,True,19000.0,19000.0,3760.2689,2894.6975,2852.1285,2085.885,1617.6251,964.8992,950.7095,950.7095,752.0538,723.6744,723.6744,723.6744
False,0.0,Костромская область,1,False,9000.0,16242.0,3214.4361,2474.5093,2438.1195,1783.1023,1382.814,824.8364,812.7065,812.7065,642.8872,618.6273,618.6273,618.6273
False,0.0,Костромская область,1,True,13890.0,15300.0,3028.006,2330.9933,2296.714,1679.6863,1302.6139,776.9978,765.5713,765.5713,605.6012,582.7483,582.7483,582.7483
False,0.0,Калужская область,1,False,10000.0,18000.0,3562.36,2742.345,2702.0164,1976.1016,1532.4869,914.115,900.6721,900.6721,712.472,685.5863,685.5863,685.5863
False,0.0,Воронежская область,2,False,9000.0,20000.0,3958.1777,3047.05,3002.2405,2195.6684,1702.7633,1015.6833,1000.7468,1000.7468,791.6355,761.7625,761.7625,761.7625
False,0.0,Воронежская область,2,True,15300.0,20000.0,3958.1777,3047.05,3002.2405,2195.6684,1702.7633,1015.6833,1000.7468,1000.7468,791.6355,761.7625,761.7625,761.7625
False,0.0,Пензенская область,1,False,9000.0,20000.0,3958.1777,3047.05,3002.2405,2195.6684,1702.7633,1015.6833,1000.7468,1000.7468,791.6355,761.7625,761.7625,761.7625
False,0.0,Курганская область,1,False,9000.0,20000.0,3958.1777,3047.05,3002.2405,2195.6684,1702.7633,1015.6833,1000.7468,1000.7468,791.6355,761.7625,761.7625,761.7625
False,0.0,Ульяновская область,1,False,9000.0,25000.0,4947.7222,3808.8125,3752.8006,2744.5855,2128.4541,1269.6042,1250.9335,1250.9335,989.5444,952.2031,952.2031,952.2031
False,0.0,Калининградская область,1,False,10000.0,26000.0,5145.6311,3961.165,3902.9126,2854.3689,2213.5922,1320.3883,1300.9709,1300.9709,1029.1262,990.2913,990.2913,990.2913
False,0.0,Калининградская область,1,True,23000.0,23000.0,4551.9044,3504.1075,3452.5765,2525.0187,1958.1777,1168.0358,1150.8588,1150.8588,910.3809,876.0269,876.0269,876.0269
False,0.0,Удмуртская Республика,1,False,9000.0,25000.0,4947.7222,3808.8125,3752.8006,2744.5855,2128.4541,1269.6042,1250.9335,1250.9335,989.5444,952.2031,952.2031,952.2031
False,0.0,Владимирская область,1,False,11163.0,29000.0,5739.3577,4418.2226,4353.2487,3183.7192,2469.0067,1472.7409,1451.0829,1451.0829,1147.8715,1104.5556,1104.5556,1104.5556
False,0.0,Тверская область,1,False,9000.0,20000.0,3958.1777,3047.05,3002.2405,2195.6684,1702.7633,1015.6833,1000.7468,1000.7468,791.6355,761.7625,761.7625,761.7625
False,0.0,Ярославская область,1,False,9000.0,20000.0,3958.1777,3047.05,3002.2405,2195.6684,1702.7633,1015.6833,1000.7468,1000.7468,791.6355,761.7625,761.7625,761.7625
False,0.0,Ивановская область,1,False,11163.0,25000.0,4947.7222,3808.8125,3752.8006,2744.5855,2128.4541,1269.6042,1250.9335,1250.9335,989.5444,952.2031,952.2031,952.2031
False,0.0,Саратовская область,2,False,8121.0,20000.0,3958.1777,3047.05,3002.2405,2195.6684,1702.7633,1015.6833,1000.7468,1000.7468,791.6355,761.7625,761.7625,761.7625
False,0.0,Кемеровская область,1,False,11163.0,35000.0,6926.8111,5332.3376,5253.9208,3842.4197,2979.8357,1777.4459,1751.3069,1751.3069,1385.3622,1333.0844,1333.0844,1333.0844
False,0.0,Ростовская область,0,False,11163.0,20000.0,3958.1777,3047.05,3002.2405,2195.6684,1702.7633,1015.6833,1000.7468,1000.7468,791.6355,761.7625,761.7625,761.7625
False,0.0,Самарская область,0,False,11163.0,20000.0,3958.1777,3047.05,3002.2405,2195.6684,1702.7633,1015.6833,1000.7468,1000.7468,791.6355,761.7625,761.7625,761.7625
False,0.0,Астраханская область,1,False,4061.0,17571.0,3477.4571,2676.9858,2637.6184,1929.0045,1495.9627,892.3286,879.2061,879.2061,695.4914,669.2465,669.2465,669.2465
False,0.0,Город федерального значения Севастополь,1,False,12225.0,25000.0,4947.7222,3808.8125,3752.8006,2744.5855,2128.4541,1269.6042,1250.9335,1250.9335,989.5444,952.2031,952.2031,952.2031
False,0.0,Курская область,2,False,11163.0,20000.0,3958.1777,3047.05,3002.2405,2195.6684,1702.7633,1015.6833,1000.7468,1000.7468,791.6355,761.7625,761.7625,761.7625
False,0.0,Республика Адыгея,1,False,11163.0,23000.0,4551.9044,3504.1075,3452.5765,2525.0187,1958.1777,1168.0358,1150.8588,1150.8588,910.3809,876.0269,876.0269,876.0269
False,0.0,Республика Марий Эл,1,False,11589.0,20000.0,3958.1777,3047.05,3002.2405,2195.6684,1702.7633,1015.6833,1000.7468,1000.7468,791.6355,761.7625,761.7625,761.7625
False,0.0,Республика Северная Осетия,1,False,11589.0,16242.0,3214.4361,2474.5093,2438.1195,1783.1023,1382.814,824.8364,812.7065,812.7065,642.8872,618.6273,618.6273,618.6273
False,0.0,Псковская область,1,False,11589.0,17571.0,3477.4571,2676.9858,2637.6184,1929.0045,1495.9627,892.3286,879.2061,879.2061,695.4914,669.2465,669.2465,669.2465
False,0.0,Тамбовская область,2,False,11589.0,20000.0,3958.1777,3047.05,3002.2405,2195.6684,1702.7633,1015.6833,1000.7468,1000.7468,791.6355,761.7625,761.7625,761.7625
False,0.0,Липецкая область,1,False,11589.0,20000.0,3958.1777,3047.05,3002.2405,2195.6684,1702.7633,1015.6833,1000.7468,1000.7468,791.6355,761.7625,761.7625,761.7625
False,0.0,Республика Алтай,1,False,11589.0,20000.0,3958.1777,3047.05,3002.2405,2195.6684,1702.7633,1015.6833,1000.7468,1000.7468,791.6355,761.7625,761.7625,761.7625
False,0.0,Республика Дагестан,1,False,11589.0,17571.0,3477.4571,2676.9858,2637.6184,1929.0045,1495.9627,892.3286,879.2061,879.2061,695.4914,669.2465,669.2465,669.2465
False,0.0,Рязанская область,1,False,12225.0,22000.0,4353.9955,3351.755,3302.4645,2415.2353,1873.0396,1117.2517,1100.8215,1100.8215,870.7991,837.9388,837.9388,837.9388
False,0.0,Смоленская область,1,False,11589.0,30000.0,5937.2666,4570.5751,4503.3607,3293.5026,2554.1449,1523.525,1501.1202,1501.1202,1187.4533,1142.6438,1142.6438,1142.6438
