is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),"Личные установки и ценности, мировоззрение (2043_4)",Выполнение работ по осмотру (2683_23),Выполнение монтажных/демонтажных работ (ОПТ) (8301_36),"Выполнение работ по регулировке, выправке и промерам (2998_23)",Внимательность (СК) (536_4),Пунктуальность (СК) (612_4),Коммуникабельность (СК) (617_4),Трудолюбие (СК) (597_4),Командность (СК) (1371_4),Выполнение работ по очистке (2992_23),Выполнение ремонтных работ (ОПТ) (8285_36),Выполнение работ по ремонту и текущему содержанию ВСП (РЖД) (замена ВСП) (2684_23),Высокая работоспособность (СК) (586_4),Выполнение погрузо-разгрузочных работ (2986_23),"Саморазвитие, обучаемость (СК) (604_4)",Знания по выполнению работ по ремонту и текущему содержанию железнодорожного пути (РЖД) (1776_23),Сборка и разборка промежуточных и стыковых рельсовых скреплений (Текущее содержаниеРЖД) (3755_23)
False,0.0,Республика Башкортостан,0,False,15000.0,55000.0,11974.9255,8411.1221,7837.6365,6417.577,2293.9424,1857.001,1829.6922,1802.3833,1706.8024,1665.8391,1583.9126,1201.5889,1133.3168,1051.3903,969.4638,873.8828,846.574,819.2651,723.6842
False,0.0,Саратовская область,2,False,15000.0,59000.0,12845.8292,9022.8401,8407.6465,6884.3098,2460.7746,1992.0556,1962.7607,1933.4657,1830.9335,1786.9911,1699.1063,1288.9772,1215.7398,1127.855,1039.9702,937.4379,908.143,878.8481,776.3158
False,0.0,Республика Карелия,1,False,16000.0,55000.0,11974.9255,8411.1221,7837.6365,6417.577,2293.9424,1857.001,1829.6922,1802.3833,1706.8024,1665.8391,1583.9126,1201.5889,1133.3168,1051.3903,969.4638,873.8828,846.574,819.2651,723.6842
False,0.0,Вологодская область,1,False,15000.0,45000.0,9797.6663,6881.8272,6412.6117,5250.7448,1876.862,1519.3644,1497.0209,1474.6773,1396.4747,1362.9593,1295.9285,983.1182,927.2592,860.2284,793.1976,714.995,692.6514,670.3078,592.1053
False,0.0,Ульяновская область,1,False,15000.0,42100.0,9166.2612,6438.3317,5999.3545,4912.3635,1755.9086,1421.4499,1400.5462,1379.6425,1306.4796,1275.1241,1212.4131,919.7617,867.5025,804.7915,742.0804,668.9176,648.0139,627.1102,553.9474
False,0.0,Удмуртская Республика,1,False,15000.0,40000.0,8709.0367,6117.1797,5700.0993,4667.3287,1668.3217,1350.5462,1330.6852,1310.8242,1241.3108,1211.5194,1151.9364,873.8828,824.2304,764.6475,705.0645,635.5511,615.6902,595.8292,526.3158
False,0.0,Псковская область,1,False,18000.0,40800.0,8883.2175,6239.5233,5814.1013,4760.6753,1701.6882,1377.5571,1357.2989,1337.0407,1266.137,1235.7498,1174.9752,891.3605,840.715,779.9404,719.1658,648.2622,628.004,607.7458,536.8421
False,0.0,Республика Хакасия,1,False,18000.0,36576.5,7963.6521,5593.6256,5212.2421,4267.8637,1525.5343,1234.9563,1216.7952,1198.6341,1135.0701,1107.8285,1053.3451,799.0894,753.6866,699.2032,644.7198,581.1559,562.9948,544.8337,481.2697
False,0.0,Алтайский край,2,False,16000.0,55000.0,11974.9255,8411.1221,7837.6365,6417.577,2293.9424,1857.001,1829.6922,1802.3833,1706.8024,1665.8391,1583.9126,1201.5889,1133.3168,1051.3903,969.4638,873.8828,846.574,819.2651,723.6842
False,0.0,Республика Мордовия,1,False,16000.0,32000.0,6967.2294,4893.7438,4560.0794,3733.863,1334.6574,1080.4369,1064.5482,1048.6594,993.0487,969.2155,921.5492,699.1063,659.3843,611.718,564.0516,508.4409,492.5521,476.6634,421.0526
