is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)","Организаторские способности, лидерство (СК) (393_4)",Разработка проектной документации (СПК в строительстве) (6933_10),Внимательность (СК) (536_4),Знание AutoCAD (3072_10),"Саморазвитие, обучаемость (СК) (604_4)",Проектирования объектов (6977_10),Составление графиков (6998_10),Английский язык (ЯС) (1918_32),Пунктуальность (СК) (612_4),Контроль выполнения работ (7013_10),Прохождения экспертизы (6978_10),Подготовка данных для заключения договоров (7017_10),Дисциплинированность (СК) (593_4),Выезды на объекты (6986_10),Сопровождение проектной документации (6993_10),Самостоятельность (СК) (603_4),Подбор оборудования (7184_10),Подготовка технических заданий (6983_10),Высокая работоспособность (СК) (586_4),Надзор за строительством (6981_10),Оформление КС (5667_10),Разработка рабочей документации (6972_10),Защита проекта в вышестоящих организациях (7007_10),Проектирование систем отопления (6991_10),Выполнение расчетов (6973_10),Трудолюбие (СК) (597_4),Участие в подготовке заданий на разработку проектных решений (6980_10),Выполнение комплекса геодезических работ (1410_10),Согласование технических решений (7001_10),Анализ проектной документации (7025_10),Уверенный пользователь AutoCad (6976_10),"Восприятие, мышление, внимание, память (УСК) (1330_4)",Инициативность (СК) (610_4),Кропотливость (СК) (623_4),Знание компьютерных офисных программ (строительство) (4252_10),Аккуратность (СК) (575_4)
False,1.0,Ростовская область,0,True,20000.0,40000.0,7598.4803,3751.2498,3495.3009,1895.6209,1847.6305,1671.6657,1639.6721,1119.776,967.8064,807.8384,759.848,743.8512,735.8528,727.8544,719.856,711.8576,663.8672,655.8688,639.872,631.8736,615.8768,591.8816,591.8816,575.8848,495.9008,471.9056,471.9056,463.9072,463.9072,455.9088,455.9088,439.912,439.912,431.9136,423.9152,415.9168,407.9184
False,1.0,Алтайский край,2,False,20000.0,60000.0,11397.7205,5626.8746,5242.9514,2843.4313,2771.4457,2507.4985,2459.5081,1679.6641,1451.7097,1211.7576,1139.772,1115.7768,1103.7792,1091.7816,1079.784,1067.7864,995.8008,983.8032,959.808,947.8104,923.8152,887.8224,887.8224,863.8272,743.8512,707.8584,707.8584,695.8608,695.8608,683.8632,683.8632,659.868,659.868,647.8704,635.8728,623.8752,611.8776
False,1.0,Алтайский край,2,True,45000.0,45000.0,8548.2903,4220.156,3932.2136,2132.5735,2078.5843,1880.6239,1844.6311,1259.7481,1088.7822,908.8182,854.829,836.8326,827.8344,818.8362,809.838,800.8398,746.8506,737.8524,719.856,710.8578,692.8614,665.8668,665.8668,647.8704,557.8884,530.8938,530.8938,521.8956,521.8956,512.8974,512.8974,494.901,494.901,485.9028,476.9046,467.9064,458.9082
False,1.0,Республика Башкортостан,0,False,18700.0,165000.0,31343.7313,15473.9052,14418.1164,7819.4361,7621.4757,6895.6209,6763.6473,4619.0762,3992.2016,3332.3335,3134.3731,3068.3863,3035.3929,3002.3995,2969.4061,2936.4127,2738.4523,2705.4589,2639.4721,2606.4787,2540.4919,2441.5117,2441.5117,2375.5249,2045.5909,1946.6107,1946.6107,1913.6173,1913.6173,1880.6239,1880.6239,1814.6371,1814.6371,1781.6437,1748.6503,1715.6569,1682.6635
False,1.0,Воронежская область,2,False,20000.0,110000.0,20895.8208,10315.9368,9612.0776,5212.9574,5080.9838,4597.0806,4509.0982,3079.3841,2661.4677,2221.5557,2089.5821,2045.5909,2023.5953,2001.5997,1979.6041,1957.6085,1825.6349,1803.6393,1759.6481,1737.6525,1693.6613,1627.6745,1627.6745,1583.6833,1363.7273,1297.7405,1297.7405,1275.7449,1275.7449,1253.7493,1253.7493,1209.758,1209.758,1187.7624,1165.7668,1143.7712,1121.7756
False,1.0,Воронежская область,2,True,30000.0,35000.0,6648.6703,3282.3435,3058.3883,1658.6683,1616.6767,1462.7075,1434.7131,979.804,846.8306,706.8586,664.867,650.8698,643.8712,636.8726,629.874,622.8754,580.8838,573.8852,559.888,552.8894,538.8922,517.8964,517.8964,503.8992,433.9132,412.9174,412.9174,405.9188,405.9188,398.9202,398.9202,384.923,384.923,377.9244,370.9258,363.9272,356.9286
False,1.0,Самарская область,0,False,20000.0,165000.0,31343.7313,15473.9052,14418.1164,7819.4361,7621.4757,6895.6209,6763.6473,4619.0762,3992.2016,3332.3335,3134.3731,3068.3863,3035.3929,3002.3995,2969.4061,2936.4127,2738.4523,2705.4589,2639.4721,2606.4787,2540.4919,2441.5117,2441.5117,2375.5249,2045.5909,1946.6107,1946.6107,1913.6173,1913.6173,1880.6239,1880.6239,1814.6371,1814.6371,1781.6437,1748.6503,1715.6569,1682.6635
False,1.0,Самарская область,0,True,20000.0,20000.0,3799.2402,1875.6249,1747.6505,947.8104,923.8152,835.8328,819.836,559.888,483.9032,403.9192,379.924,371.9256,367.9264,363.9272,359.928,355.9288,331.9336,327.9344,319.936,315.9368,307.9384,295.9408,295.9408,287.9424,247.9504,235.9528,235.9528,231.9536,231.9536,227.9544,227.9544,219.956,219.956,215.9568,211.9576,207.9584,203.9592
False,1.0,Астраханская область,1,False,20000.0,70000.0,13297.3405,6564.6871,6116.7766,3317.3365,3233.3533,2925.4149,2869.4261,1959.6081,1693.6613,1413.7173,1329.7341,1301.7397,1287.7425,1273.7453,1259.7481,1245.7508,1161.7676,1147.7704,1119.776,1105.7788,1077.7844,1035.7928,1035.7928,1007.7984,867.8264,825.8348,825.8348,811.8376,811.8376,797.8404,797.8404,769.846,769.846,755.8488,741.8516,727.8544,713.8572
False,1.0,Пензенская область,1,False,20000.0,80000.0,15196.9606,7502.4995,6990.6019,3791.2418,3695.2609,3343.3313,3279.3441,2239.5521,1935.6129,1615.6769,1519.6961,1487.7025,1471.7057,1455.7089,1439.7121,1423.7153,1327.7345,1311.7377,1279.7441,1263.7473,1231.7536,1183.7632,1183.7632,1151.7696,991.8016,943.8112,943.8112,927.8144,927.8144,911.8176,911.8176,879.824,879.824,863.8272,847.8304,831.8336,815.8368
