is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Личные установки и ценности, мировоззрение (2043_4)","Осуществление пассажирских перевозок (автобус, троллейбус, трамвай) (1853_28)",Вождение трамвая (1900_28),Соблюдение правил охраны труда (ОПТ) (3790_36),Навыки по техническому обслуживанию транспортных средств соответствующей категории (без привязки) (1851_28),Знание правил дорожного движения (1856_28),Пунктуальность (СК) (612_4),Склонность к здоровому образу жизни (СК) (1662_4),Внимательность (СК) (536_4),Коммуникабельность (СК) (617_4),"Оформление путевой документации (водители автобуса, троллейбуса, трамвая) (1862_28)",Соблюдение графика движения автобуса по маршруту (1866_28)
False,0.0,Белгородская область,2,False,30000.0,30000.0,7226.2144,5579.1894,4173.6131,2112.6761,1862.6042,1853.981,1707.3872,1302.0983,1250.3593,1017.5338,1008.9106,905.4326
False,0.0,Красноярский край,1,False,25988.0,35000.0,8430.5835,6509.0543,4869.2153,2464.7887,2173.0382,2162.9779,1991.9517,1519.1147,1458.7525,1187.1227,1177.0624,1056.338
False,0.0,Ярославская область,1,False,45000.0,45000.0,10839.3216,8368.7841,6260.4197,3169.0141,2793.9063,2780.9715,2561.0808,1953.1475,1875.5389,1526.3007,1513.3659,1358.1489
False,0.0,Тульская область,1,False,15000.0,50000.0,12043.6907,9298.649,6956.0218,3521.1268,3104.3403,3089.9684,2845.6453,2170.1638,2083.9322,1695.8896,1681.5177,1509.0543
False,0.0,Тюменская область,1,False,45000.0,45000.0,10839.3216,8368.7841,6260.4197,3169.0141,2793.9063,2780.9715,2561.0808,1953.1475,1875.5389,1526.3007,1513.3659,1358.1489
False,0.0,Калининградская область,1,False,40000.0,40000.0,9634.9526,7438.9192,5564.8175,2816.9014,2483.4723,2471.9747,2276.5162,1736.1311,1667.1457,1356.7117,1345.2141,1207.2435
False,0.0,Город федерального значения Москва,0,False,30000.0,101000.0,24328.2552,18783.2711,14051.1641,7112.6761,6270.7675,6241.7361,5748.2035,4383.731,4209.543,3425.697,3396.6657,3048.2897
False,1.0,Челябинская область,0,False,19800.0,40300.0,9707.2147,7494.7111,5606.5536,2838.0282,2502.0983,2490.5145,2293.5901,1749.1521,1679.6493,1366.887,1355.3032,1216.2978
False,1.0,Ростовская область,0,False,15000.0,18600.0,4480.2529,3459.0974,2587.6401,1309.8592,1154.8146,1149.4682,1058.5801,807.3009,775.2228,630.8709,625.5246,561.3682
False,1.0,Иркутская область,1,False,15000.0,25000.0,6021.8454,4649.3245,3478.0109,1760.5634,1552.1702,1544.9842,1422.8227,1085.0819,1041.9661,847.9448,840.7588,754.5272
