is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,Дисциплинированность (СК) (593_4),"Личные установки и ценности, мировоззрение (2043_4)","(АГП) Соблюдение федеральных норм, правил и требований (6240_30)",(АГП) Управление автовышкой и автогидроподъемником (4336_30),(АГП) Выполнение ежесменного технического обслуживания (4338_30),Выполнение ремонтных работ (ОПТ) (8285_36),(АГП) Обслуживание и ремонт (3691_30),"(стропальщик) Строительные, строительно-монтажные, и монтажные работы (2876_30)",(АГП) Выявление и устранение неисправностей (4337_30),(АГП) Организация подъема и перемещения людей на высоту. (8430_30),(АГП) Знание устройства и принципа работы АГП (8450_30),(АГП) Управление машинами и механизмами различного типа и назначения (6030_30),(АГП) Ведение путевой документации (4316_30),(АГП) Соблюдать требования правил дорожного движения (4314_30),(АГП) Техническое обслуживание и проведение профилактического ремонта автовышки и автогидроподъемника (4687_30),(АГП) Выполнение работ по ежесменному техническому обслуживанию транспортного средства (автомобиля) (8459_30),"(АГП) Выполнение производственных заданий, заявок, распоряжений, поручений (4341_30)",(крановщик) Управление автомобильным краном (5200_30),(АГП) Ведение первичной технической документации (8447_30),(АГП) Знание федеральных норм и правил (5867_30),Целеустремленность (СК) (588_4),Стрессоустойчивость (СК) (601_4),"(АГП) Знание устройства, и правил эксплуатации (5870_30)","Саморазвитие, обучаемость (СК) (604_4)"
False,1.0,Тульская область,1,False,20000.0,40000.0,10359.743,5237.6874,3498.9293,2488.2227,1905.7816,1623.1263,1567.4518,1314.7752,1271.9486,1271.9486,1164.8822,865.0964,826.5525,745.182,723.7687,680.9422,680.9422,616.7024,616.7024,573.8758,535.3319,522.4839,462.5268,445.3961
False,1.0,Чувашская Республика,1,False,20000.0,80000.0,20719.4861,10475.3747,6997.8587,4976.4454,3811.5632,3246.2527,3134.9036,2629.5503,2543.8972,2543.8972,2329.7645,1730.1927,1653.1049,1490.364,1447.5375,1361.8844,1361.8844,1233.4047,1233.4047,1147.7516,1070.6638,1044.9679,925.0535,890.7923
False,1.0,Ульяновская область,1,False,21238.0,80000.0,20719.4861,10475.3747,6997.8587,4976.4454,3811.5632,3246.2527,3134.9036,2629.5503,2543.8972,2543.8972,2329.7645,1730.1927,1653.1049,1490.364,1447.5375,1361.8844,1361.8844,1233.4047,1233.4047,1147.7516,1070.6638,1044.9679,925.0535,890.7923
False,1.0,Республика Мордовия,1,False,20000.0,40000.0,10359.743,5237.6874,3498.9293,2488.2227,1905.7816,1623.1263,1567.4518,1314.7752,1271.9486,1271.9486,1164.8822,865.0964,826.5525,745.182,723.7687,680.9422,680.9422,616.7024,616.7024,573.8758,535.3319,522.4839,462.5268,445.3961
False,1.0,Саратовская область,2,False,21238.0,80000.0,20719.4861,10475.3747,6997.8587,4976.4454,3811.5632,3246.2527,3134.9036,2629.5503,2543.8972,2543.8972,2329.7645,1730.1927,1653.1049,1490.364,1447.5375,1361.8844,1361.8844,1233.4047,1233.4047,1147.7516,1070.6638,1044.9679,925.0535,890.7923
False,1.0,Ставропольский край,2,False,21238.0,80000.0,20719.4861,10475.3747,6997.8587,4976.4454,3811.5632,3246.2527,3134.9036,2629.5503,2543.8972,2543.8972,2329.7645,1730.1927,1653.1049,1490.364,1447.5375,1361.8844,1361.8844,1233.4047,1233.4047,1147.7516,1070.6638,1044.9679,925.0535,890.7923
False,1.0,Красноярский край,1,False,18000.0,130000.0,33669.1649,17022.4839,11371.5203,8086.7238,6193.7901,5275.1606,5094.2184,4273.0193,4133.833,4133.833,3785.8672,2811.5632,2686.2955,2421.8415,2352.2484,2213.0621,2213.0621,2004.2827,2004.2827,1865.0964,1739.8287,1698.0728,1503.212,1447.5375
False,1.0,Пермский край,1,False,20000.0,140000.0,36259.1006,18331.9058,12246.2527,8708.7794,6670.2355,5680.9422,5486.0814,4601.7131,4451.8201,4451.8201,4077.0878,3027.8373,2892.9336,2608.137,2533.1906,2383.2976,2383.2976,2158.4582,2158.4582,2008.5653,1873.6617,1828.6938,1618.8437,1558.8865
False,1.0,Ямало-Ненецкий автономный округ,1,False,25000.0,140000.0,36259.1006,18331.9058,12246.2527,8708.7794,6670.2355,5680.9422,5486.0814,4601.7131,4451.8201,4451.8201,4077.0878,3027.8373,2892.9336,2608.137,2533.1906,2383.2976,2383.2976,2158.4582,2158.4582,2008.5653,1873.6617,1828.6938,1618.8437,1558.8865
False,1.0,Удмуртская Республика,1,False,20000.0,20000.0,5179.8715,2618.8437,1749.4647,1244.1113,952.8908,811.5632,783.7259,657.3876,635.9743,635.9743,582.4411,432.5482,413.2762,372.591,361.8844,340.4711,340.4711,308.3512,308.3512,286.9379,267.666,261.242,231.2634,222.6981
False,1.0,Челябинская область,0,False,18000.0,140000.0,36259.1006,18331.9058,12246.2527,8708.7794,6670.2355,5680.9422,5486.0814,4601.7131,4451.8201,4451.8201,4077.0878,3027.8373,2892.9336,2608.137,2533.1906,2383.2976,2383.2976,2158.4582,2158.4582,2008.5653,1873.6617,1828.6938,1618.8437,1558.8865
False,1.0,Республика Карелия,1,False,22750.0,120000.0,31079.2291,15713.0621,10496.788,7464.6681,5717.3448,4869.379,4702.3555,3944.3255,3815.8458,3815.8458,3494.6467,2595.2891,2479.6574,2235.546,2171.3062,2042.8266,2042.8266,1850.1071,1850.1071,1721.6274,1605.9957,1567.4518,1387.5803,1336.1884
False,1.0,Нижегородская область,0,False,18000.0,120000.0,31079.2291,15713.0621,10496.788,7464.6681,5717.3448,4869.379,4702.3555,3944.3255,3815.8458,3815.8458,3494.6467,2595.2891,2479.6574,2235.546,2171.3062,2042.8266,2042.8266,1850.1071,1850.1071,1721.6274,1605.9957,1567.4518,1387.5803,1336.1884
False,1.0,Брянская область,1,False,20000.0,120000.0,31079.2291,15713.0621,10496.788,7464.6681,5717.3448,4869.379,4702.3555,3944.3255,3815.8458,3815.8458,3494.6467,2595.2891,2479.6574,2235.546,2171.3062,2042.8266,2042.8266,1850.1071,1850.1071,1721.6274,1605.9957,1567.4518,1387.5803,1336.1884
False,1.0,Томская область,1,False,20000.0,120000.0,31079.2291,15713.0621,10496.788,7464.6681,5717.3448,4869.379,4702.3555,3944.3255,3815.8458,3815.8458,3494.6467,2595.2891,2479.6574,2235.546,2171.3062,2042.8266,2042.8266,1850.1071,1850.1071,1721.6274,1605.9957,1567.4518,1387.5803,1336.1884
False,1.0,Республика Башкортостан,0,False,18000.0,140000.0,36259.1006,18331.9058,12246.2527,8708.7794,6670.2355,5680.9422,5486.0814,4601.7131,4451.8201,4451.8201,4077.0878,3027.8373,2892.9336,2608.137,2533.1906,2383.2976,2383.2976,2158.4582,2158.4582,2008.5653,1873.6617,1828.6938,1618.8437,1558.8865
