is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,Закрепление подвижного состава (1740_23),"Ответственность , добросовестность (СК) (614_4)",Выполнение работ по ограждению места производства работ (РЖД) (2680_23),Подача звуковых и видимых сигналов при выполнении работ по ограждению (2946_23),Пунктуальность (СК) (612_4),"Саморазвитие, обучаемость (СК) (604_4)","Установка и снятие знаков, сигналов, петард при производстве работ по ограждению (2945_23)",Коммуникабельность (СК) (617_4),"Знание сигналов, знаков, и правил их установки (2681_23)",Командность (СК) (1371_4),"Личные установки и ценности, мировоззрение (2043_4)",Дисциплинированность (СК) (593_4),Высокая работоспособность (СК) (586_4),Знание порядка пользования средствами связи (2962_23),Инициативность (СК) (610_4)
False,0.0,Тверская область,1,False,19950.0,23000.0,6262.4211,5273.8565,1464.7082,1360.4101,1278.7855,1274.2508,1174.4874,911.4748,861.5931,816.2461,757.295,716.4826,317.429,285.6861,244.8738
False,0.0,Тамбовская область,2,False,19950.0,32000.0,8712.9338,7337.5394,2037.8549,1892.7445,1779.1798,1772.8707,1634.0694,1268.1388,1198.7382,1135.6467,1053.6278,996.8454,441.6404,397.4763,340.694
False,0.0,Алтайский край,2,False,22000.0,32000.0,8712.9338,7337.5394,2037.8549,1892.7445,1779.1798,1772.8707,1634.0694,1268.1388,1198.7382,1135.6467,1053.6278,996.8454,441.6404,397.4763,340.694
False,0.0,Новгородская область,1,False,19100.5,19950.0,5431.9696,4574.4972,1270.4752,1180.0079,1109.2074,1105.2741,1018.7401,790.6053,747.3383,708.0047,656.8711,621.4708,275.3352,247.8017,212.4014
False,0.0,Калужская область,1,False,27400.0,27400.0,7460.4495,6282.7681,1744.9132,1620.6625,1523.4227,1518.0205,1399.1719,1085.8438,1026.4196,972.3975,902.1688,853.5489,378.1546,340.3391,291.7192
False,0.0,Чувашская Республика,1,False,19100.5,28000.0,7623.817,6420.347,1783.123,1656.1514,1556.7823,1551.2618,1429.8107,1109.6215,1048.8959,993.6909,921.9243,872.2397,386.4353,347.7918,298.1073
False,0.0,Астраханская область,1,False,17539.0,30000.0,8168.3754,6878.9432,1910.489,1774.4479,1667.9811,1662.0662,1531.9401,1188.8801,1123.817,1064.6688,987.776,934.5426,414.0379,372.6341,319.4006
False,0.0,Республика Мордовия,1,False,19100.5,35000.0,9529.7713,8025.4338,2228.9038,2070.1893,1945.9779,1939.0773,1787.2634,1387.0268,1311.1199,1242.1136,1152.4054,1090.2997,483.0442,434.7397,372.6341
False,0.0,Город федерального значения Санкт-Петербург,0,False,20000.0,30300.0,8250.0591,6947.7326,1929.5938,1792.1924,1684.6609,1678.6869,1547.2595,1200.7689,1135.0552,1075.3155,997.6538,943.888,418.1782,376.3604,322.5946
False,0.0,Саратовская область,2,False,20000.0,30000.0,8168.3754,6878.9432,1910.489,1774.4479,1667.9811,1662.0662,1531.9401,1188.8801,1123.817,1064.6688,987.776,934.5426,414.0379,372.6341,319.4006
False,0.0,Курская область,2,False,20000.0,20000.0,5445.5836,4585.9621,1273.6593,1182.9653,1111.9874,1108.0442,1021.2934,792.5868,749.2114,709.7792,658.5174,623.0284,276.0252,248.4227,212.9338
False,0.0,Липецкая область,1,False,20000.0,33700.0,9175.8084,7727.3462,2146.1159,1993.2965,1873.6987,1867.0544,1720.8793,1335.5087,1262.4211,1195.9779,1109.6017,1049.8028,465.1025,418.5923,358.7934
False,0.0,Республика Крым,1,False,20000.0,20000.0,5445.5836,4585.9621,1273.6593,1182.9653,1111.9874,1108.0442,1021.2934,792.5868,749.2114,709.7792,658.5174,623.0284,276.0252,248.4227,212.9338
False,0.0,Курганская область,1,False,20000.0,20000.0,5445.5836,4585.9621,1273.6593,1182.9653,1111.9874,1108.0442,1021.2934,792.5868,749.2114,709.7792,658.5174,623.0284,276.0252,248.4227,212.9338
False,0.0,Красноярский край,1,False,17861.0,63000.0,17153.5883,14445.7808,4012.0268,3726.3407,3502.7603,3490.3391,3217.0741,2496.6483,2360.0158,2235.8044,2074.3297,1962.5394,869.4795,782.5315,670.7413
False,0.0,Приморский край,1,False,21991.0,65250.0,17766.2165,14961.7015,4155.3135,3859.4243,3627.8588,3614.9941,3331.9696,2585.8143,2444.3021,2315.6546,2148.4129,2032.6301,900.5323,810.4791,694.6964
False,0.0,Хабаровский край,1,False,17861.0,65250.0,17766.2165,14961.7015,4155.3135,3859.4243,3627.8588,3614.9941,3331.9696,2585.8143,2444.3021,2315.6546,2148.4129,2032.6301,900.5323,810.4791,694.6964
False,0.0,Забайкальский край,1,False,17861.0,49500.0,13477.8194,11350.2563,3152.3068,2927.8391,2752.1688,2742.4093,2527.7011,1961.6522,1854.2981,1756.7035,1629.8304,1541.9953,683.1625,614.8462,527.011
False,0.0,Архангельская область,1,False,21991.0,42875.0,11673.9698,9831.1563,2730.4071,2535.9819,2383.8229,2375.3697,2189.3977,1699.1078,1606.1218,1521.5891,1411.6966,1335.6171,591.7291,532.5562,456.4767
False,0.0,Новосибирская область,0,False,25000.0,43000.0,11708.0047,9859.8186,2738.3675,2543.3754,2390.7729,2382.295,2195.7808,1704.0615,1610.8044,1526.0252,1415.8123,1339.511,593.4543,534.1088,457.8076
False,0.0,Кемеровская область,1,False,21250.0,38426.0,10462.5998,8811.0091,2447.0816,2272.8312,2136.4614,2128.8853,1962.211,1522.7969,1439.4598,1363.6987,1265.2094,1197.0244,530.3273,477.2946,409.1096
False,0.0,Иркутская область,1,False,26200.0,50000.0,13613.959,11464.9054,3184.1483,2957.4132,2779.9685,2770.1104,2553.2334,1981.4669,1873.0284,1774.4479,1646.2934,1557.571,690.0631,621.0568,532.3344
