is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,ЖКХс Ремонт и обслуживание сантехнических и теплотехнических систем и  оборудования (6084_29),Дисциплинированность (СК) (593_4),Высокая работоспособность (СК) (586_4),ЖКХс Осуществление сантехнических работ (8067_29),"Ответственность , добросовестность (СК) (614_4)",Выполнение ремонтных работ (ОПТ) (8285_36),Аккуратность (СК) (575_4),"ЖКХс ремонт инженерных систем (отопление, водоснабжение, канализация) и оборудования (8271_29)","ЖКХс Монтаж, установка, ремонт, замена оборудования сан-узлов (8120_29)","Личные установки и ценности, мировоззрение (2043_4)","ЖКХс Монтаж, установка, замена, ремонт и техническое обслуживание различных типов смесителей (8117_29)",ЖКХс Ремонт и техническое обслуживание сантехнического и теплотехнического оборудования (6094_29),ЖКХс Опыт выполнения сантехнических работ (8081_29),"ЖКХс Монтаж, установка, замена/ремонт радиаторов отопления (8115_29)",ЖКХ фразы слишком широкой формулировки по монтажу сантехнических систем (2523_29),Выполнение монтажных/демонтажных работ (ОПТ) (8301_36),ЖКХи Снятие и обработка показаний приборов учета (2887_29),ЖКХс Выполнение сантехнических и теплотехнических работ (6069_29),Чтение схем/чертежей (ОПТ) (3032_36),ЖКХ Знание инженерных систем зданий и сооружений (2565_29),ЖКХс Монтаж сантехнических и теплотехнических систем и оборудования (6085_29),"ЖКХ Подготовка данных, составление и ведение отчетности (2905_29)",Пунктуальность (СК) (612_4),"ЖКХс ремонт и обслуживание внутренних инженерных систем (отопление, водоснабжение, канализация) и оборудования (2656_29)",ЖКХ Монтаж ГВС и ХВС (2524_29),ЖКХс ремонт наружных и внутренних инженерных систем и оборудования (8272_29),Коммуникабельность (СК) (617_4),ЖКХа техническое обслуживание электротехнического оборудования (2792_29),Выполнение поручений руководителя (ОПТ) (3036_36),ЖКХсс монтаж/демонтаж трубопроводов из различных материалов (8366_29),"ЖКХс общие фразы по обслуживанию, ремонту, сборке  различных деталей, узлов и оборудования (8281_29)",ЖКХ Монтаж систем отопления (2525_29),ЖКХс знать сантехнические работы (8072_29),ЖКХс Ремонт и техническое обслуживание систем  отопления и ГВС (8279_29),ЖКХ Монтаж канализации (2527_29),Нравственность (СК) (622_4),"ЖКХс Монтаж, установка, замена, настройка и испытание сантехнических систем (8091_29)",Внимательность (СК) (536_4),ЖКХс Монтаж систем  отопления и ГВС (8116_29),Стрессоустойчивость (СК) (601_4),Трудолюбие (СК) (597_4),"Саморазвитие, обучаемость (СК) (604_4)","ЖКХс Монтаж, установка, замена и ремонт различных типов унитаза (8123_29)"
False,2.0,Омская область,1,False,30000.0,45000.0,3184.2672,3002.4246,2844.8276,2493.2651,2485.1832,2432.6509,2089.1703,2064.9246,1838.6315,1806.3039,1567.8879,1519.3966,1228.4483,1115.3017,990.0323,945.5819,917.2953,816.2716,804.1487,755.6573,727.3707,666.7565,654.6336,654.6336,602.1013,565.7328,533.4052,521.2823,468.75,452.5862,436.4224,420.2586,412.1767,375.8082,339.4397,323.2759,315.194,294.9892,290.9483,282.8664,266.7026,254.5797,238.4159
False,2.0,Омская область,1,True,25000.0,35000.0,2476.6523,2335.2191,2212.6437,1939.2062,1932.9203,1892.0618,1624.9102,1606.0524,1430.0467,1404.903,1219.4684,1181.7529,955.4598,867.4569,770.0251,735.4526,713.4519,634.8779,625.449,587.7335,565.7328,518.5884,509.1595,509.1595,468.301,440.0144,414.8707,405.4418,364.5833,352.0115,339.4397,326.8678,320.5819,292.2953,264.0086,251.4368,245.1509,229.4361,226.2931,220.0072,207.4353,198.0065,185.4346
False,2.0,Рязанская область,1,False,25000.0,35000.0,2476.6523,2335.2191,2212.6437,1939.2062,1932.9203,1892.0618,1624.9102,1606.0524,1430.0467,1404.903,1219.4684,1181.7529,955.4598,867.4569,770.0251,735.4526,713.4519,634.8779,625.449,587.7335,565.7328,518.5884,509.1595,509.1595,468.301,440.0144,414.8707,405.4418,364.5833,352.0115,339.4397,326.8678,320.5819,292.2953,264.0086,251.4368,245.1509,229.4361,226.2931,220.0072,207.4353,198.0065,185.4346
False,2.0,Рязанская область,1,True,25000.0,25000.0,1769.0374,1668.0136,1580.4598,1385.1473,1380.6573,1351.4727,1160.6501,1147.1803,1021.4619,1003.5022,871.0489,844.1092,682.4713,619.6121,550.018,525.3233,509.6085,453.4842,446.7493,419.8096,404.0948,370.4203,363.6853,363.6853,334.5007,314.296,296.3362,289.6013,260.4167,251.4368,242.4569,233.477,228.9871,208.7823,188.5776,179.5977,175.1078,163.8829,161.6379,157.148,148.1681,141.4332,132.4533
False,2.0,Астраханская область,1,False,26250.0,26250.0,1857.4892,1751.4143,1659.4828,1454.4046,1449.6902,1419.0463,1218.6827,1204.5393,1072.535,1053.6773,914.6013,886.3147,716.5948,650.5927,577.5189,551.5894,535.0889,476.1584,469.0867,440.8001,424.2996,388.9413,381.8696,381.8696,351.2258,330.0108,311.153,304.0814,273.4375,264.0086,254.5797,245.1509,240.4364,219.2214,198.0065,188.5776,183.8631,172.077,169.7198,165.0054,155.5765,148.5048,139.076
False,2.0,Ростовская область,0,False,25000.0,40500.0,2865.8405,2702.1821,2560.3448,2243.9386,2236.6649,2189.3858,1880.2532,1858.4321,1654.7683,1625.6735,1411.0991,1367.4569,1105.6034,1003.7716,891.0291,851.0237,825.5657,734.6444,723.7338,680.0916,654.6336,600.0808,589.1703,589.1703,541.8912,509.1595,480.0647,469.1541,421.875,407.3276,392.7802,378.2328,370.9591,338.2274,305.4957,290.9483,283.6746,265.4903,261.8534,254.5797,240.0323,229.1218,214.5744
False,2.0,Ростовская область,0,True,15000.0,15000.0,1061.4224,1000.8082,948.2759,831.0884,828.3944,810.8836,696.3901,688.3082,612.8772,602.1013,522.6293,506.4655,409.4828,371.7672,330.0108,315.194,305.7651,272.0905,268.0496,251.8858,242.4569,222.2522,218.2112,218.2112,200.7004,188.5776,177.8017,173.7608,156.25,150.8621,145.4741,140.0862,137.3922,125.2694,113.1466,107.7586,105.0647,98.3297,96.9828,94.2888,88.9009,84.8599,79.472
False,2.0,Иркутская область,1,False,25500.0,40000.0,2830.4598,2668.8218,2528.7356,2216.2356,2209.0517,2162.3563,1857.0402,1835.4885,1634.3391,1605.6034,1393.6782,1350.5747,1091.954,991.3793,880.0287,840.5172,815.3736,725.5747,714.7989,671.6954,646.5517,592.6724,581.8966,581.8966,535.2011,502.8736,474.1379,463.3621,416.6667,402.2989,387.931,373.5632,366.3793,334.0517,301.7241,287.3563,280.1724,262.2126,258.6207,251.4368,237.069,226.2931,211.9253
False,2.0,Иркутская область,1,True,29000.0,29000.0,2052.0833,1934.8958,1833.3333,1606.7708,1601.5625,1567.7083,1346.3542,1330.7292,1184.8958,1164.0625,1010.4167,979.1667,791.6667,718.75,638.0208,609.375,591.1458,526.0417,518.2292,486.9792,468.75,429.6875,421.875,421.875,388.0208,364.5833,343.75,335.9375,302.0833,291.6667,281.25,270.8333,265.625,242.1875,218.75,208.3333,203.125,190.1042,187.5,182.2917,171.875,164.0625,153.6458
False,2.0,Республика Татарстан,0,False,29000.0,70000.0,4953.3046,4670.4382,4425.2874,3878.4124,3865.8405,3784.1236,3249.8204,3212.1049,2860.0934,2809.806,2438.9368,2363.5057,1910.9195,1734.9138,1540.0503,1470.9052,1426.9037,1269.7557,1250.898,1175.467,1131.4655,1037.1767,1018.319,1018.319,936.602,880.0287,829.7414,810.8836,729.1667,704.023,678.8793,653.7356,641.1638,584.5905,528.0172,502.8736,490.3017,458.8721,452.5862,440.0144,414.8707,396.0129,370.8693
False,2.0,Республика Татарстан,0,True,15000.0,15000.0,1061.4224,1000.8082,948.2759,831.0884,828.3944,810.8836,696.3901,688.3082,612.8772,602.1013,522.6293,506.4655,409.4828,371.7672,330.0108,315.194,305.7651,272.0905,268.0496,251.8858,242.4569,222.2522,218.2112,218.2112,200.7004,188.5776,177.8017,173.7608,156.25,150.8621,145.4741,140.0862,137.3922,125.2694,113.1466,107.7586,105.0647,98.3297,96.9828,94.2888,88.9009,84.8599,79.472
False,2.0,Алтайский край,2,False,17000.0,50000.0,3538.0747,3336.0273,3160.9195,2770.2945,2761.3147,2702.9454,2321.3003,2294.3606,2042.9239,2007.0043,1742.0977,1688.2184,1364.9425,1239.2241,1100.0359,1050.6466,1019.217,906.9684,893.4986,839.6193,808.1897,740.8405,727.3707,727.3707,669.0014,628.592,592.6724,579.2026,520.8333,502.8736,484.9138,466.954,457.9741,417.5647,377.1552,359.1954,350.2155,327.7658,323.2759,314.296,296.3362,282.8664,264.9066
