is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Организация и выполнение производственных заданий при производстве этапа строительных работ (2959_10),"Личные установки и ценности, мировоззрение (2043_4)",Выполнение работ на строительных площадках (4996_10),Управление трубоукладчиком Komatsu D355 (6293_10),Знание устройства и технических характеристик машин и агрегатов (3181_10),ТО и Р трубоукладчиков (6390_10),Управление трубоукладчиком Komatsu (6292_10),Дисциплинированность (СК) (593_4),Стыковка и укладка трубы в траншею (6406_10),Выполнение ремонтных работ (ОПТ) (8285_36),Выполнение монтажных/демонтажных работ (ОПТ) (8301_36),Погрузо-разгрузочные работы на погрузчике (6276_10),Монтаж-демонтаж механизмов (6407_10),Навыки управления трубоукладчиком (6290_10),Трудолюбие (СК) (597_4),Контроль исправности строп и съёмных грузозахватных приспособлений (6433_10),Пунктуальность (СК) (612_4),Выполнение работ по прокладке трубопроводов (6419_10),Выполнение работ по прокладке трубопроводов трубоукладчиком (6420_10),Управление трубоукладчиком Liebherr (6377_10),"Управление трубоукладчиком Liebherr RL, Komatsu D355 (6367_10)",Знание устройства и принципов работы трубоукладчика (6280_10),"Управление трубоукладчиком Komatsu, Caterpillar (6366_10)",Управление трубоукладчиком среднего класса (6439_10),Работа в сварочно-монтажных бригадах (6404_10),Настройка и регулировка механизмов (6451_10),Пусто2 (6392_10),Нравственность (СК) (622_4),Определение правильности и надежности строповки грузов (6400_10),Контроль соответствия съёмных грузозахватных приспособлений массе и характеру груза (6409_10),Командность (СК) (1371_4),Заправка бульдозера ГСМ (3224_10),Выявление и устранение неисправностей в работе машины (6411_10),Управление трубоукладчиком Caterpillar (6376_10),Управление краном при выполнении строительных монтажных работ (6291_10),Контрольный осмотр и проверка исправности агрегатов трубоукладчика (6431_10),Монтаж/установка опалубки (305_10)
False,2.0,Пермский край,1,False,76050.0,76050.0,9633.0,7452.9,5556.72,3741.66,3513.51,3427.32,3194.1,2905.11,2747.94,2301.78,2296.71,2210.52,2124.33,2119.26,2083.77,1977.3,1703.52,1617.33,1597.05,1363.83,1181.31,1059.63,937.95,877.11,872.04,831.48,816.27,790.92,760.5,608.4,603.33,577.98,532.35,496.86,451.23,415.74,395.46,273.78
False,2.0,Ямало-Ненецкий автономный округ,1,False,70000.0,140000.0,17733.3333,13720.0,10229.3333,6888.0,6468.0,6309.3333,5880.0,5348.0,5058.6667,4237.3333,4228.0,4069.3333,3910.6667,3901.3333,3836.0,3640.0,3136.0,2977.3333,2940.0,2510.6667,2174.6667,1950.6667,1726.6667,1614.6667,1605.3333,1530.6667,1502.6667,1456.0,1400.0,1120.0,1110.6667,1064.0,980.0,914.6667,830.6667,765.3333,728.0,504.0
False,2.0,Оренбургская область,2,False,100000.0,170000.0,21533.3333,16660.0,12421.3333,8364.0,7854.0,7661.3333,7140.0,6494.0,6142.6667,5145.3333,5134.0,4941.3333,4748.6667,4737.3333,4658.0,4420.0,3808.0,3615.3333,3570.0,3048.6667,2640.6667,2368.6667,2096.6667,1960.6667,1949.3333,1858.6667,1824.6667,1768.0,1700.0,1360.0,1348.6667,1292.0,1190.0,1110.6667,1008.6667,929.3333,884.0,612.0
False,2.0,Пензенская область,1,False,52250.0,80000.0,10133.3333,7840.0,5845.3333,3936.0,3696.0,3605.3333,3360.0,3056.0,2890.6667,2421.3333,2416.0,2325.3333,2234.6667,2229.3333,2192.0,2080.0,1792.0,1701.3333,1680.0,1434.6667,1242.6667,1114.6667,986.6667,922.6667,917.3333,874.6667,858.6667,832.0,800.0,640.0,634.6667,608.0,560.0,522.6667,474.6667,437.3333,416.0,288.0
False,2.0,Удмуртская Республика,1,False,76050.0,100000.0,12666.6667,9800.0,7306.6667,4920.0,4620.0,4506.6667,4200.0,3820.0,3613.3333,3026.6667,3020.0,2906.6667,2793.3333,2786.6667,2740.0,2600.0,2240.0,2126.6667,2100.0,1793.3333,1553.3333,1393.3333,1233.3333,1153.3333,1146.6667,1093.3333,1073.3333,1040.0,1000.0,800.0,793.3333,760.0,700.0,653.3333,593.3333,546.6667,520.0,360.0
False,2.0,Ярославская область,1,False,122000.0,122000.0,15453.3333,11956.0,8914.1333,6002.4,5636.4,5498.1333,5124.0,4660.4,4408.2667,3692.5333,3684.4,3546.1333,3407.8667,3399.7333,3342.8,3172.0,2732.8,2594.5333,2562.0,2187.8667,1895.0667,1699.8667,1504.6667,1407.0667,1398.9333,1333.8667,1309.4667,1268.8,1220.0,976.0,967.8667,927.2,854.0,797.0667,723.8667,666.9333,634.4,439.2
False,2.0,Ленинградская область,1,False,122000.0,122000.0,15453.3333,11956.0,8914.1333,6002.4,5636.4,5498.1333,5124.0,4660.4,4408.2667,3692.5333,3684.4,3546.1333,3407.8667,3399.7333,3342.8,3172.0,2732.8,2594.5333,2562.0,2187.8667,1895.0667,1699.8667,1504.6667,1407.0667,1398.9333,1333.8667,1309.4667,1268.8,1220.0,976.0,967.8667,927.2,854.0,797.0667,723.8667,666.9333,634.4,439.2
False,2.0,Вологодская область,1,False,122000.0,122000.0,15453.3333,11956.0,8914.1333,6002.4,5636.4,5498.1333,5124.0,4660.4,4408.2667,3692.5333,3684.4,3546.1333,3407.8667,3399.7333,3342.8,3172.0,2732.8,2594.5333,2562.0,2187.8667,1895.0667,1699.8667,1504.6667,1407.0667,1398.9333,1333.8667,1309.4667,1268.8,1220.0,976.0,967.8667,927.2,854.0,797.0667,723.8667,666.9333,634.4,439.2
False,2.0,Мурманская область,1,False,35000.0,35000.0,4433.3333,3430.0,2557.3333,1722.0,1617.0,1577.3333,1470.0,1337.0,1264.6667,1059.3333,1057.0,1017.3333,977.6667,975.3333,959.0,910.0,784.0,744.3333,735.0,627.6667,543.6667,487.6667,431.6667,403.6667,401.3333,382.6667,375.6667,364.0,350.0,280.0,277.6667,266.0,245.0,228.6667,207.6667,191.3333,182.0,126.0
False,2.0,Волгоградская область,2,False,122000.0,170000.0,21533.3333,16660.0,12421.3333,8364.0,7854.0,7661.3333,7140.0,6494.0,6142.6667,5145.3333,5134.0,4941.3333,4748.6667,4737.3333,4658.0,4420.0,3808.0,3615.3333,3570.0,3048.6667,2640.6667,2368.6667,2096.6667,1960.6667,1949.3333,1858.6667,1824.6667,1768.0,1700.0,1360.0,1348.6667,1292.0,1190.0,1110.6667,1008.6667,929.3333,884.0,612.0
