is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)","Личные установки и ценности, мировоззрение (2043_4)",Дисциплинированность (СК) (593_4),Закрепление подвижного состава (1740_23),Опробование тормозов (составитель поездов) (3673_23)
False,1.0,Хабаровский край,1,False,28000.0,56000.0,20935.2909,13961.9358,11175.6389,5146.2751,4780.8592
False,1.0,Мурманская область,1,False,25000.0,70000.0,26169.1136,17452.4198,13969.5487,6432.8439,5976.074
False,1.0,Республика Мордовия,1,False,23000.0,50000.0,18692.224,12466.0141,9978.249,4594.8885,4268.6243
False,1.0,Забайкальский край,1,False,30000.0,70000.0,26169.1136,17452.4198,13969.5487,6432.8439,5976.074
False,1.0,Республика Бурятия,1,False,23000.0,40000.0,14953.7792,9972.8113,7982.5992,3675.9108,3414.8994
False,1.0,Архангельская область,1,False,30000.0,30000.0,11215.3344,7479.6085,5986.9494,2756.9331,2561.1746
False,1.0,Ханты-Мансийский автономный округ — Югра,1,False,30000.0,40000.0,14953.7792,9972.8113,7982.5992,3675.9108,3414.8994
False,1.0,Калужская область,1,False,35000.0,45000.0,16823.0016,11219.4127,8980.4241,4135.3997,3841.7618
False,1.0,Город федерального значения Санкт-Петербург,0,False,35000.0,71500.0,26729.8804,17826.4002,14268.8961,6570.6906,6104.1327
False,1.0,Амурская область,1,False,40000.0,50089.5,18725.6831,12488.3283,9996.1101,4603.1134,4276.2651
False,1.0,Псковская область,1,False,30000.0,50000.0,18692.224,12466.0141,9978.249,4594.8885,4268.6243
False,1.0,Курганская область,1,False,50089.5,50089.5,18725.6831,12488.3283,9996.1101,4603.1134,4276.2651
False,1.0,Ямало-Ненецкий автономный округ,1,False,27750.0,60000.0,22430.6688,14959.217,11973.8989,5513.8662,5122.3491
False,1.0,Город федерального значения Москва,0,False,27750.0,66250.0,24767.1968,16517.4687,13221.18,6088.2273,5655.9271
False,1.0,Тверская область,1,False,27750.0,40000.0,14953.7792,9972.8113,7982.5992,3675.9108,3414.8994
False,1.0,Приморский край,1,False,35000.0,72000.0,26916.8026,17951.0604,14368.6786,6616.6395,6146.8189
False,1.0,Московская область,2,False,39241.25,70000.0,26169.1136,17452.4198,13969.5487,6432.8439,5976.074
False,1.0,Республика Саха (Якутия),1,False,71250.0,71250.0,26636.4192,17764.0701,14219.0049,6547.7162,6082.7896
False,0.0,Ставропольский край,2,False,11280.0,27400.0,10243.3388,6831.3757,5468.0805,2517.9989,2339.2061
False,0.0,Республика Северная Осетия,1,False,12000.0,12130.0,4534.7336,3024.255,2420.7232,1114.72,1035.5682
False,0.0,Кабардино-Балкарская Республика,1,False,13000.0,30000.0,11215.3344,7479.6085,5986.9494,2756.9331,2561.1746
False,0.0,Воронежская область,2,False,13896.0,49300.0,18430.5329,12291.4899,9838.5536,4530.5601,4208.8635
False,0.0,Алтайский край,2,False,15000.0,42000.0,15701.4682,10471.4519,8381.7292,3859.7064,3585.6444
False,0.0,Кировская область,1,False,20000.0,30000.0,11215.3344,7479.6085,5986.9494,2756.9331,2561.1746
False,0.0,Оренбургская область,2,False,18250.0,35000.0,13084.5568,8726.2099,6984.7743,3216.422,2988.037
False,0.0,Волгоградская область,2,False,13896.0,45000.0,16823.0016,11219.4127,8980.4241,4135.3997,3841.7618
False,0.0,Самарская область,0,False,15000.0,61500.0,22991.4356,15333.1974,12273.2463,5651.7129,5250.4078
False,0.0,Астраханская область,1,False,16242.0,35000.0,13084.5568,8726.2099,6984.7743,3216.422,2988.037
False,0.0,Ростовская область,0,False,13896.0,35000.0,13084.5568,8726.2099,6984.7743,3216.422,2988.037
False,0.0,Калининградская область,1,False,20000.0,30000.0,11215.3344,7479.6085,5986.9494,2756.9331,2561.1746
False,0.0,Вологодская область,1,False,15000.0,51000.0,19066.0685,12715.3344,10177.814,4686.7863,4353.9967
