is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),Выполнение ремонтных работ (ОПТ) (8285_36),Аккуратность (СК) (575_4),"Личные установки и ценности, мировоззрение (2043_4)",Командность (СК) (1371_4),"ЖКХс Монтаж, установка, замена/ремонт радиаторов отопления (8115_29)",ЖКХс Ремонт и обслуживание сантехнических и теплотехнических систем и  оборудования (6084_29),ЖКХс Ремонт и техническое обслуживание сантехнического и теплотехнического оборудования (6094_29),Склонность к здоровому образу жизни (СК) (1662_4),Коммуникабельность (СК) (617_4),ЖКХ фразы слишком широкой формулировки по монтажу сантехнических систем (2523_29)
False,0.0,Курганская область,1,True,12200.0,12200.0,3591.6429,2554.7009,1141.2156,845.774,776.2583,689.3637,538.7464,515.5745,503.9886,399.7151,324.4065,318.6135
False,0.0,Саратовская область,2,False,11280.0,30000.0,8831.9088,6282.0513,2806.2678,2079.7721,1908.8319,1695.1567,1324.7863,1267.8063,1239.3162,982.906,797.7208,783.4758
False,0.0,Саратовская область,2,True,10000.0,15000.0,4415.9544,3141.0256,1403.1339,1039.886,954.416,847.5783,662.3932,633.9031,619.6581,491.453,398.8604,391.7379
False,0.0,Белгородская область,2,False,9489.0,30000.0,8831.9088,6282.0513,2806.2678,2079.7721,1908.8319,1695.1567,1324.7863,1267.8063,1239.3162,982.906,797.7208,783.4758
False,0.0,Белгородская область,2,True,15000.0,18000.0,5299.1453,3769.2308,1683.7607,1247.8632,1145.2991,1017.094,794.8718,760.6838,743.5897,589.7436,478.6325,470.0855
False,0.0,Республика Крым,1,False,13210.0,30000.0,8831.9088,6282.0513,2806.2678,2079.7721,1908.8319,1695.1567,1324.7863,1267.8063,1239.3162,982.906,797.7208,783.4758
False,0.0,Республика Крым,1,True,16242.0,16242.0,4781.5954,3401.1026,1519.3134,1125.9886,1033.4416,917.7578,717.2393,686.3903,670.9658,532.1453,431.886,424.1738
False,0.0,Чувашская Республика,1,False,8000.0,30000.0,8831.9088,6282.0513,2806.2678,2079.7721,1908.8319,1695.1567,1324.7863,1267.8063,1239.3162,982.906,797.7208,783.4758
False,0.0,Чувашская Республика,1,True,14711.0,18000.0,5299.1453,3769.2308,1683.7607,1247.8632,1145.2991,1017.094,794.8718,760.6838,743.5897,589.7436,478.6325,470.0855
False,0.0,Тамбовская область,2,False,11280.0,25000.0,7359.924,5235.0427,2338.5565,1733.1434,1590.6933,1412.6306,1103.9886,1056.5052,1032.7635,819.0883,664.7673,652.8965
