,0
"Ответственность , добросовестность (СК) (614_4)",2225.0
Дисциплинированность (СК) (593_4),1362.0
"Личные установки и ценности, мировоззрение (2043_4)",1281.0
Автослесарь - Базовые умения по комплексному ТО и Р автотранспорта (2091_31),608.0
Аккуратность (СК) (575_4),473.0
Пунктуальность (СК) (612_4),449.0
"Саморазвитие, обучаемость (СК) (604_4)",437.0
Коммуникабельность (СК) (617_4),391.0
Автоэлектрик - обобщенные знания - знание устройства узлов и агрегатов транспортных средств (3749_31),325.0
Автослесарь - Конкретные умения – диагностика (2261_31),319.0
Высокая работоспособность (СК) (586_4),314.0
Командность (СК) (1371_4),269.0
Выполнение ремонтных работ (ОПТ) (8285_36),266.0
Автоэлектрик - диагностика неисправностей электрооборудования (3247_31),263.0
Внимательность (СК) (536_4),216.0
Автослесарь - Базовые знания в области конструкции и характеристик АТС (2224_31),190.0
Склонность к здоровому образу жизни (СК) (1662_4),188.0
"Автослесарь - Конкретные умения – Ремонт агрегатов - Общие работы по ремонту, сборке/разборке, восстановлению (3823_31)",168.0
"Автослесарь - Конкретные умения – предрейсовый осмотр, профилактический осмотр, техосмотр (2262_31)",145.0
Автослесарь - Конкретные умения – Ходовая часть - Общие работы по обслуживанию и ремонту систем снизу автомобиля (3830_31),124.0
Трудолюбие (СК) (597_4),117.0
Нравственность (СК) (622_4),85.0
Автослесарь - Конкретные умения – Ремонт агрегатов - Ремонтные работы по двигателю и трансмиссии (3818_31),74.0
Автоэлектрик - конкретные умения - диагностика и ремонт ходовой части (3723_31),45.0
