,0
"Личные установки и ценности, мировоззрение (2043_4)",557.0
"Ответственность , добросовестность (СК) (614_4)",556.0
Разработка технологической документации (6036_35),336.0
Дисциплинированность (СК) (593_4),317.0
Знание компьютерных программ (3753_35),268.0
Разработка и внедрение технологий и материалов (6364_35),189.0
"Организаторские способности, лидерство (СК) (393_4)",179.0
Разработка рабочей конструкторской документации (5537_35),168.0
Коммуникабельность (СК) (617_4),159.0
Внимательность (СК) (536_4),136.0
Чтение схем/чертежей (ОПТ) (3032_36),132.0
"Саморазвитие, обучаемость (СК) (604_4)",131.0
Контроль технологического процесса (4609_35),117.0
Разработка норм времени (6078_35),111.0
Знание нормативной и методической документации (4566_35),105.0
Разработка норм расхода материальных средств (6399_35),104.0
Конструкторское сопровождение опытного и серийного производства (5518_35),69.0
Составление и корректировка управляющих программ (3667_35),65.0
Пунктуальность (СК) (612_4),59.0
Разработка проектной документации (5541_35),50.0
Навыки руководящей работы (6700_35),43.0
Английский язык (ЯС) (1918_32),38.0
"Решимость , решительность (СК) (608_4).1",1.0
Соблюдение пожарной безопасности (ОПТ) (3792_36).1,0.0
