,0
"Ответственность , добросовестность (СК) (614_4)",252.0
Коммуникабельность (СК) (617_4),164.0
Дисциплинированность (СК) (593_4),160.0
"Организовывать и проводить библиотечные/культурно-просветительские мероприятия / клубы / кружки, пропагандировать чтение (Библиотека) (635_19)",108.0
"Встречать, записывать/регистрироваь читателей/пользователей в библиотеку / Перерегистрировать читателей/пользователей библиотеки (Библиотека) (1429_19)",67.0
Пунктуальность (СК) (612_4),29.0
Работать с библиотечными каталогами / картотеками (без указания формы) (Библиотека) (1646_19),21.0
Осуществлять работу с библиотечным / книжным фондом (Библиотека) (1840_19),15.0
Доброжелательность (СК) (1126_4),9.0
