,0
"Ответственность , добросовестность (СК) (614_4)",269.0
"Личные установки и ценности, мировоззрение (2043_4)",204.0
Дисциплинированность (СК) (593_4),189.0
Планировка площадей при устройстве насыпей (3129_10),80.0
Планировка площадей при устройстве выемок (2664_10),79.0
Коммуникабельность (СК) (617_4),69.0
Планировочные работы (5021_10),55.0
Склонность к здоровому образу жизни (СК) (1662_4),41.0
Пунктуальность (СК) (612_4),39.0
Выполнение ремонтных работ (ОПТ) (8285_36),37.0
ТОиР бульдозеров (3176_10),35.0
Заправка бульдозера ГСМ (3224_10),32.0
Высокая работоспособность (СК) (586_4),29.0
Внимательность (СК) (536_4),28.0
Командность (СК) (1371_4),22.0
Выполнение работ бульдозерами (4974_10),22.0
Знание технического устройства бульдозеров (2976_10),18.0
Монтаж-демонтаж навесного оборудования (3227_10),17.0
Умение выявлять и устранять неисправности (3343_10),16.0
Трудолюбие (СК) (597_4),15.0
Умение управлять бульдозером (3193_10),13.0
Погрузо-разгрузочные работы (3184_10),12.0
Нравственность (СК) (622_4),8.0
Профилирование и подчистка откаточных путей (3183_10),8.0
Стрессоустойчивость (СК) (601_4),5.0
Соблюдение правовых и нормативных документов (6145_10),4.0
Соблюдение правил охраны труда (ОПТ) (3790_36),3.0
Организация и выполнение производственных заданий при производстве этапа строительных работ (2959_10),0.0
