,0
"Личные установки и ценности, мировоззрение (2043_4)",943.0
Планировочные работы (5021_10),604.0
Планировка площадей при устройстве выемок (2664_10),550.0
Планировка площадей при устройстве насыпей (3129_10),544.0
ТОиР бульдозеров (3176_10),473.0
Заправка бульдозера ГСМ (3224_10),465.0
"Ответственность , добросовестность (СК) (614_4)",454.0
Дисциплинированность (СК) (593_4),346.0
Выполнение ремонтных работ (ОПТ) (8285_36),269.0
Выполнение работ бульдозерами (4974_10),267.0
Знание технического устройства бульдозеров (2976_10),177.0
Погрузо-разгрузочные работы (3184_10),118.0
Умение управлять бульдозером (3193_10),99.0
Организация и выполнение производственных заданий при производстве этапа строительных работ (2959_10),87.0
Профилирование и подчистка откаточных путей (3183_10),66.0
Соблюдение правил охраны труда (ОПТ) (3790_36),49.0
Высокая работоспособность (СК) (586_4),43.0
Монтаж-демонтаж навесного оборудования (3227_10),40.0
Пунктуальность (СК) (612_4),37.0
Командность (СК) (1371_4),35.0
Коммуникабельность (СК) (617_4),28.0
Внимательность (СК) (536_4),26.0
Склонность к здоровому образу жизни (СК) (1662_4),24.0
Умение выявлять и устранять неисправности (3343_10),18.0
Стрессоустойчивость (СК) (601_4),17.0
Трудолюбие (СК) (597_4),6.0
Нравственность (СК) (622_4),5.0
Соблюдение правовых и нормативных документов (6145_10),0.0
