,0
"Личные установки и ценности, мировоззрение (2043_4)",78.0
Планировка площадей при устройстве насыпей (3129_10),66.0
Планировка площадей при устройстве выемок (2664_10),65.0
ТОиР бульдозеров (3176_10),52.0
"Ответственность , добросовестность (СК) (614_4)",42.0
Дисциплинированность (СК) (593_4),39.0
Планировочные работы (5021_10),36.0
Заправка бульдозера ГСМ (3224_10),19.0
Выполнение работ бульдозерами (4974_10),17.0
Умение управлять бульдозером (3193_10),15.0
Знание технического устройства бульдозеров (2976_10),13.0
Пунктуальность (СК) (612_4),10.0
Склонность к здоровому образу жизни (СК) (1662_4),9.0
Умение выявлять и устранять неисправности (3343_10),8.0
Выполнение ремонтных работ (ОПТ) (8285_36),7.0
Высокая работоспособность (СК) (586_4),6.0
Соблюдение правил охраны труда (ОПТ) (3790_36),6.0
Соблюдение правовых и нормативных документов (6145_10),4.0
Монтаж-демонтаж навесного оборудования (3227_10),4.0
Погрузо-разгрузочные работы (3184_10),4.0
Трудолюбие (СК) (597_4),3.0
Профилирование и подчистка откаточных путей (3183_10),3.0
Стрессоустойчивость (СК) (601_4),3.0
Коммуникабельность (СК) (617_4),2.0
Внимательность (СК) (536_4),1.0
Организация и выполнение производственных заданий при производстве этапа строительных работ (2959_10),1.0
Нравственность (СК) (622_4),0.0
Командность (СК) (1371_4),0.0
