,0
"Личные установки и ценности, мировоззрение (2043_4)",636.0
Планировка площадей при устройстве насыпей (3129_10),476.0
Планировка площадей при устройстве выемок (2664_10),473.0
"Ответственность , добросовестность (СК) (614_4)",391.0
ТОиР бульдозеров (3176_10),362.0
Дисциплинированность (СК) (593_4),314.0
Планировочные работы (5021_10),290.0
Выполнение работ бульдозерами (4974_10),180.0
Заправка бульдозера ГСМ (3224_10),145.0
Выполнение ремонтных работ (ОПТ) (8285_36),115.0
Умение управлять бульдозером (3193_10),108.0
Знание технического устройства бульдозеров (2976_10),99.0
Высокая работоспособность (СК) (586_4),76.0
Монтаж-демонтаж навесного оборудования (3227_10),67.0
Умение выявлять и устранять неисправности (3343_10),56.0
Склонность к здоровому образу жизни (СК) (1662_4),46.0
Профилирование и подчистка откаточных путей (3183_10),45.0
Стрессоустойчивость (СК) (601_4),35.0
Командность (СК) (1371_4),33.0
Соблюдение правовых и нормативных документов (6145_10),27.0
Коммуникабельность (СК) (617_4),27.0
Пунктуальность (СК) (612_4),25.0
Погрузо-разгрузочные работы (3184_10),23.0
Соблюдение правил охраны труда (ОПТ) (3790_36),21.0
Нравственность (СК) (622_4),17.0
Внимательность (СК) (536_4),12.0
Трудолюбие (СК) (597_4),6.0
Организация и выполнение производственных заданий при производстве этапа строительных работ (2959_10),3.0
