,0
"Организаторские способности, лидерство (СК) (393_4)",32.0
"Ответственность , добросовестность (СК) (614_4)",29.0
"Личные установки и ценности, мировоззрение (2043_4)",24.0
Коммуникабельность (СК) (617_4),15.0
"Организация и обеспечение эффективного обслуживания покупателей: координация процессов обслуживания покупателей, контроль и повышение качества (2195_33)",14.0
Проведение инвентаризации и переоценок (2201_33),12.0
"Обеспечение выполнения планов, достижения показателей, роста KPI-показателей (2204_33)",11.0
"Саморазвитие, обучаемость (СК) (604_4)",10.0
"Ведение расчетно-кассовых операций и кассовой документации, работа с кассой (2057_33)",9.0
Дисциплинированность (СК) (593_4),8.0
Целеустремленность (СК) (588_4),8.0
"Управление товародвижением (организация, осуществление, контроль) в части приемки, обмена и возврата товара (2193_33)",7.0
Владение ПК и оргтехникой (2686_33),6.0
Ведение отчетности и разработка регламентов (2239_33),6.0
Внимательность (СК) (536_4),4.0
Грамотность (СК) (1368_4),3.0
Доброжелательность (СК) (1126_4),2.0
Прием посетителей (1971_33),0.0
