,0
"Организаторские способности, лидерство (СК) (393_4)",6999.0
"Управление товародвижением (организация, осуществление, контроль) в части приемки, обмена и возврата товара (2193_33)",5919.0
"Личные установки и ценности, мировоззрение (2043_4)",5448.0
Ведение отчетности и разработка регламентов (2239_33),5346.0
"Ответственность , добросовестность (СК) (614_4)",5057.0
Внимательность (СК) (536_4),3698.0
Владение ПК и оргтехникой (2686_33),3403.0
Дисциплинированность (СК) (593_4),3203.0
"Саморазвитие, обучаемость (СК) (604_4)",1721.0
Коммуникабельность (СК) (617_4),1635.0
"Ведение расчетно-кассовых операций и кассовой документации, работа с кассой (2057_33)",1613.0
"Обеспечение выполнения планов, достижения показателей, роста KPI-показателей (2204_33)",1081.0
Целеустремленность (СК) (588_4),997.0
"Организация и обеспечение эффективного обслуживания покупателей: координация процессов обслуживания покупателей, контроль и повышение качества (2195_33)",863.0
Проведение инвентаризации и переоценок (2201_33),793.0
Грамотность (СК) (1368_4),672.0
Доброжелательность (СК) (1126_4),566.0
Прием посетителей (1971_33),209.0
