,0
Командность (СК) (1371_4),0.0
Контроль за правильностью сцепления поезда с первым вагоном (машинист РЖД) (3788_23),0.0
"Личные установки и ценности, мировоззрение (2043_4)",0.0
"Устранение неисправностей, возникших в пути следования (машинист РЖД) (3789_23)",0.0
Исполнение инструкций и правил машинистом метрополитена (1924_28),0.0
Обеспечение безопасности перевозок и культуры обслуживания ( машинист метрополитена) (1927_28),0.0
Дисциплинированность (СК) (593_4),0.0
Выполнение графика движения машистом метрополитена (1921_28),0.0
Пунктуальность (СК) (612_4),0.0
Управление электропоездом метрополитена (1913_28),0.0
Техническое обслуживание поездов (машинист РЖД) (1848_23),0.0
Коммуникабельность (СК) (617_4),0.0
Выполнение маневровой работы машинистом метрополитена (1920_28),0.0
"Знания правил, инструкций машиниста метрополитена (1923_28)",0.0
Знание правил подготовки и управления поездом (машинист РЖД) (3765_23),0.0
Управление локомотивами (РЖД) (3677_23),0.0
Выполнение маневровой работы (составитель поездов) (3671_23),0.0
Инициативность (СК) (610_4),0.0
Высокая работоспособность (СК) (586_4),0.0
