,0
"Личные установки и ценности, мировоззрение (2043_4)",452.0
"Ответственность , добросовестность (СК) (614_4)",406.0
Дисциплинированность (СК) (593_4),262.0
Пунктуальность (СК) (612_4),97.0
Навыки по техническому обслуживанию  автобуса (1910_28),64.0
"Осуществление пассажирских перевозок (автобус, троллейбус, трамвай) (1853_28)",59.0
Соблюдение графика движения автобуса по маршруту (1866_28),51.0
Навыки по техническому обслуживанию транспортных средств соответствующей категории (без привязки) (1851_28),47.0
Внимательность (СК) (536_4),44.0
Вождение автобуса (1899_28),38.0
Соблюдение правил дорожного движения (1847_28),36.0
"Оформление путевой документации (водители автобуса, троллейбуса, трамвая) (1862_28)",34.0
"Вождение транспортных средств (без привязки к автобусу, троллейбусу, трамваю) (1902_28)",33.0
Знание устройств и технического обслуживания автобуса (1905_28),29.0
Вежливость (СК) (581_4),24.0
Стрессоустойчивость (СК) (601_4),22.0
Знание правил дорожного движения (1856_28),18.0
"Навыки, несвойственные водителю автобуса, троллейбуса, трамвая ( управление автомобилем) (1858_28)",18.0
Целеустремленность (СК) (588_4),16.0
Доброжелательность (СК) (1126_4),12.0
Знание устройств и технического обслуживания транспортных средств( без привязки) (1908_28),9.0
Выполнение ремонтных работ (ОПТ) (8285_36),7.0
Выполнение поручений руководителя (ОПТ) (3036_36),5.0
"Общие знания (водитель трамвая, троллейбуса, трамвая) (1875_28)",4.0
Воспитанность (СК) (585_4),0.0
