,0
Фрезерование (3469_35),354.0
"Ответственность , добросовестность (СК) (614_4)",309.0
Дисциплинированность (СК) (593_4),205.0
"Личные установки и ценности, мировоззрение (2043_4)",204.0
Чтение схем/чертежей (ОПТ) (3032_36),98.0
Фрезерование сложных деталей (3635_35),43.0
Внимательность (СК) (536_4),39.0
Кропотливость (СК) (623_4),37.0
Подготовка станков к работе (3512_35),36.0
Установка деталей различными способами (3545_35),33.0
Пунктуальность (СК) (612_4),32.0
Использование контрольно-измерительных инструментов (3479_35),31.0
"Саморазвитие, обучаемость (СК) (604_4)",27.0
Аккуратность (СК) (575_4),25.0
Высокая работоспособность (СК) (586_4),23.0
Коммуникабельность (СК) (617_4),22.0
Работать на фрезерных станках определенной группы (3638_35),18.0
Командность (СК) (1371_4),8.0
"Виды, устройство и назначение контрольно-измерительных инструментов и приборов (3482_35)",4.0
Работать на фрезерных станках определенной марки (3636_35),4.0
Механическая обработка металлов (3498_35),2.0
Фрезерование цветных металлов и их сплавов (3658_35),1.0
